key,subject,task,direction,tr,n_volumes,n_anchors,n_peaks,anchor_interval_mean,anchor_interval_cv,peak_rate_per_min,coactivation_mean,coactivation_sd,global_sd,global_lag1,spectral_entropy,dvars_pct,tsnr,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,surz_mean_H,surz_mean_D,surz_mean_lambda,surz_multilevel,surz_pivot_rate,surz_tree_span_events,surz_tree_span_time
ds004796/sub-01/func/sub-01_task-sternberg_dir-AP_bold.nii.gz,sub-01,sternberg,AP,0.800000011920929,515,24,99,15.62073043478261,0.12527499149626606,14.417475513318214,0.8468644820899337,0.5323258236718275,0.712262181913955,0.9212395366817626,0.8076397229074675,6.822870845962999,22.59029300390712,23,83,5.963855421686747,1.243968699438881,1.2891566265060241,0.7891044705315456,5.674698795180723,1.440769050524667,0.1566265060240964,0.2289156626506024,0.47368421052631576,1.6842105263157894,2.6790123456790123,1.4367283950617284,0.024096385542168676,2.4939759036144578,178.91374622096225,393.7092244734615,0.628767095441827,-0.3144885150336537,0.6612665642300201,-0.8987100598136691,0.38849645817004574,0.1186107868754469,-0.026775020894747713
ds004796/sub-02/func/sub-02_task-sternberg_dir-AP_bold.nii.gz,sub-02,sternberg,AP,0.800000011920929,515,24,118,15.638139130434782,0.1386052160305611,17.18446576334898,0.9198527814281104,0.39264515690485835,0.7076951011266661,0.8515328921067445,0.7965965322144224,8.37103294175401,14.855286260381924,23,105,5.9714285714285715,1.243886147222786,1.3714285714285714,0.8798726181532326,5.6,1.5787044347526527,0.19047619047619047,0.21904761904761905,0.5217391304347826,1.6956521739130435,2.7941176470588234,1.1574754901960784,0.02857142857142857,2.4857142857142858,175.36927759346077,399.40077920314167,0.24660442145421688,1.6410799608876063,-0.5072212403545729,0.6644996225916692,0.4994620677829562,0.6624182332508187,-0.28611372597715923
ds004796/sub-03/func/sub-03_task-sternberg_dir-AP_bold.nii.gz,sub-03,sternberg,AP,0.800000011920929,515,24,101,15.614782608695652,0.1419586051105852,14.7087376449004,0.8398185093115831,0.5433950917964476,0.8415390498415968,0.9129530467112484,0.8692876920438466,9.26715010751471,19.51730405509361,23,88,5.829545454545454,1.2614677722553482,1.2386363636363635,0.5871089930302292,5.590909090909091,1.5509460489691307,0.17045454545454544,0.26136363636363635,0.5217391304347826,1.826086956521739,2.802325581395349,1.3909883720930232,0.022727272727272728,2.522727272727273,181.54299393446775,386.43955637634383,-0.28042177964164383,-0.5918598406736038,0.04887310463008786,-0.0019571231517163433,1.5875047149312806,0.08879147456175238,-0.4465040634843223
ds004796/sub-04/func/sub-04_task-sternberg_dir-AP_bold.nii.gz,sub-04,sternberg,AP,0.800000011920929,515,24,120,15.630843478260871,0.13508928931905256,17.47572789493117,0.8367623032918007,0.5480986870125978,0.764161271568592,0.8010301502628222,0.9132579427767971,9.137991079928117,23.108030796405412,23,102,6.068627450980392,1.2207756333420792,1.3137254901960784,0.8081318409845786,5.754901960784314,1.5378799507010925,0.17647058823529413,0.17647058823529413,0.5,1.7222222222222223,3.05,1.32875,0.0196078431372549,2.5294117647058822,207.14228125744987,392.97480773349224,1.1763279316999262,0.2828295079543044,0.7927533638879629,-0.2320569249480227,-1.7439561298309783,0.5400200615458892,0.30211971705762486
ds004796/sub-05/func/sub-05_task-sternberg_dir-AP_bold.nii.gz,sub-05,sternberg,AP,0.800000011920929,515,24,116,15.650417391304346,0.15750194687317698,16.893203631766795,0.8987549780946746,0.43887753990746065,0.6758766338300877,0.9063568110582318,0.7978801625656037,7.923067352610444,22.540637187158627,23,100,5.85,1.305582419667734,1.29,0.6860073327640606,5.56,1.6411378166788229,0.18,0.2,0.5,1.7,2.7653061224489797,1.255420918367347,0.02,2.5,179.71347599732954,398.8269389997536,-1.0784671977642195,0.11388459380911725,-0.8782963656803202,0.16231673691732762,-0.4260577226006697,-0.03194061648697427,-0.24582342311671912
ds004796/sub-07/func/sub-07_task-sternberg_dir-AP_bold.nii.gz,sub-07,sternberg,AP,0.800000011920929,515,24,120,15.650999999999998,0.1260166903957855,17.47572789493117,0.909680748545231,0.4157120401185879,0.7054444881747672,0.8538015030703521,0.9102506399236537,9.204954906796619,20.489071089648657,23,105,6.066666666666666,1.1624465799691837,1.2190476190476192,0.5880370275650555,5.847619047619047,1.2843806677281078,0.1523809523809524,0.24761904761904763,0.34615384615384615,1.5769230769230769,3.0288461538461537,1.3016826923076923,0.009523809523809525,2.742857142857143,170.98800303088407,395.57218668340664,2.6119901891059847,-0.756659390997567,1.764528438293844,-0.4547378436693644,0.9106469280116336,0.6467383450212689,0.17525774892279675
ds004796/sub-08/func/sub-08_task-sternberg_dir-AP_bold.nii.gz,sub-08,sternberg,AP,0.800000011920929,515,24,114,15.63301739130435,0.1380957146848359,16.60194150018461,0.8564931990821566,0.5166601630937407,0.7629568978768095,0.910172491256837,0.8551492222020938,6.671288686410893,22.408693322709357,23,96,5.833333333333333,1.2704468063320473,1.2291666666666667,0.5521091933698521,5.604166666666667,1.5042337910862174,0.17708333333333334,0.19791666666666666,0.5263157894736842,1.8421052631578947,3.3263157894736843,1.569736842105263,0.010416666666666666,2.5208333333333335,188.43483891254712,399.95072795234415,-1.3197119263383457,-1.1266485362972853,-0.02043513377641142,-0.578931627397754,-1.9201924613894694,1.5184587998465897,1.488180377453778
ds004796/sub-09/func/sub-09_task-sternberg_dir-AP_bold.nii.gz,sub-09,sternberg,AP,0.800000011920929,515,24,125,15.66274347826087,0.14425563434910416,18.203883223886635,0.9017595160770788,0.43265835893322546,0.7794842548372113,0.8420366148362898,0.7939582472499452,6.992246975644951,26.433727824939083,23,113,6.061946902654867,1.2121644295632323,1.345132743362832,0.787966545523811,5.716814159292035,1.5027892314238345,0.21238938053097345,0.22123893805309736,0.52,1.76,2.6396396396396398,1.0822072072072073,0.017699115044247787,2.6283185840707963,184.21574078705373,393.9704004563714,0.9061069303548165,0.2009774975647307,0.5933056552377702,0.3664599372792852,0.2700435080320468,-0.944437652004646,-1.3360210252388371
ds004796/sub-10/func/sub-10_task-sternberg_dir-AP_bold.nii.gz,sub-10,sternberg,AP,0.800000011920929,515,24,134,15.669269565217393,0.14573764113079912,19.51456281600647,0.9006524884294992,0.4349625940161202,0.5313703310101873,0.7278460008030813,0.8282858685932029,9.49884318162393,18.971556414770916,23,116,5.9655172413793105,1.3050472887168136,1.3103448275862069,0.8383606477597477,5.655172413793103,1.6317685698858055,0.1724137931034483,0.23275862068965517,0.4074074074074074,1.6296296296296295,2.061946902654867,0.8097345132743363,0.02586206896551724,2.5775862068965516,176.2852261486253,399.33869321717856,0.09135885047183852,-0.004800512920107547,0.06464566359873161,-0.5777229855971142,0.8048158289690975,-2.3995366045123263,-2.1967636928434
ds004796/sub-11/func/sub-11_task-sternberg_dir-AP_bold.nii.gz,sub-11,sternberg,AP,0.800000011920929,515,24,132,15.672178260869563,0.13076780451028638,19.223300684424284,0.8983257617446265,0.4397571279939504,0.72869975795964,0.5889904267090527,0.8977300159859442,9.467021369181396,17.231522294420778,23,113,5.929203539823009,1.1704456886106924,1.336283185840708,0.7393363272584714,5.592920353982301,1.5097135971387383,0.20353982300884957,0.23893805309734514,0.5555555555555556,1.7777777777777777,2.8018018018018016,1.1452702702702702,0.017699115044247787,2.4867256637168142,183.04499626958687,398.14138371450696,-0.11061370641930067,0.3357769941604517,-0.2471259276402298,0.44123318198889844,1.218606859601657,-0.05305215712250655,0.04203747997496298
