feature,mean_AP,p_AP,q_AP,mean_PA,p_PA,q_PA,same_direction,nominal_both,fdr_both
surz_mean_lambda,0.486104644071629,0.00013501576728987014,0.000945110371029091,0.33171131617025523,0.022167098441592124,0.03879242227278622,True,True,True
surz_mean_H,0.42191330800007454,0.0009066228009244952,0.003173179803235733,0.4335525107907933,0.002168366625044378,0.010969287584931438,True,True,True
surz_pivot_rate,0.24157310902171805,0.11500298516960289,0.2669087445965895,0.34798999448526935,0.009033940639247033,0.021079194824909744,True,False,False
surz_mean_D,-0.19430227639905917,0.1700125734961336,0.2669087445965895,0.054781667468705574,0.6974690922925014,0.7076566369827002,False,False,False
surz_tree_span_time,-0.19050375395409505,0.1906491032832782,0.2669087445965895,-0.4474342052829143,0.0031340821671232678,0.010969287584931438,True,False,False
surz_multilevel,-0.05352379514403175,0.6810825148513591,0.7945962673265856,0.0643609045728418,0.7076566369827002,0.7076566369827002,False,False,False
surz_tree_span_events,0.005188072871473966,0.970723535482022,0.970723535482022,-0.2588429762246264,0.12239008446015769,0.17134611824422077,False,False,False
