feature,n,mean_z,sd,t,p,positive_fraction,q_BH
surz_tree_span_time,67,-0.42065182249525934,1.006607611131785,-3.420581687618481,0.0010763623075357581,0.34328358208955223,0.007534536152750307
surz_tree_span_events,67,-0.23498059762569115,1.0738990087067541,-1.7910427987338908,0.07787173371875021,0.417910447761194,0.27255106801562573
surz_pivot_rate,67,0.1634817735691033,1.0872196317301324,1.2308055790944716,0.2227639350376259,0.5522388059701493,0.4857419311830729
surz_mean_D,67,0.16234247232411023,1.2315278762815265,1.0790096037801846,0.284511060185189,0.5373134328358209,0.4857419311830729
surz_multilevel,67,0.1277152978702309,1.117133966809057,0.9357828143196111,0.3527964932045752,0.5223880597014925,0.4857419311830729
surz_mean_H,67,0.10794740373215271,1.0802958715933229,0.8179125770907667,0.4163502267283482,0.5373134328358209,0.4857419311830729
surz_mean_lambda,67,0.009548153681919197,1.1110001547637234,0.07034653044056748,0.944130567411521,0.5373134328358209,0.944130567411521
