feature,n,mean_z,sd,t,p,positive_fraction,q_BH
surz_tree_span_time,67,-0.4063181453895817,0.6317020348480703,-5.264914744855274,1.6426368186536565e-06,0.2537313432835821,1.1498457730575596e-05
surz_tree_span_events,67,-0.22638324046821665,0.6178207206536531,-2.999295140039146,0.003813991779337605,0.3582089552238806,0.013348971227681618
surz_multilevel,67,0.13508466268075978,0.7907531465370594,1.3983069469323843,0.16670209471823452,0.5223880597014925,0.28216257086102575
surz_mean_D,67,0.1390039086496033,0.8212942109129552,1.3853695957522394,0.170603815214242,0.4925373134328358,0.28216257086102575
surz_pivot_rate,67,0.11020022570927866,0.6992342544108171,1.2900222168470175,0.20154469347216125,0.5373134328358209,0.28216257086102575
surz_mean_H,67,0.09208585645308856,0.89434481915902,0.8428015729741872,0.4023834027968916,0.5522388059701493,0.4694473032630402
surz_mean_lambda,67,0.014125580449121494,0.8669987034868789,0.13335989848486982,0.8943145533740614,0.5074626865671642,0.8943145533740614
