subject,task,surz_mean_H,surz_mean_D,surz_mean_lambda,surz_multilevel,surz_pivot_rate,surz_tree_span_events,surz_tree_span_time
sub-01,msit,0.9078640277403391,0.44413501123877486,0.3833572264282179,-0.5341115708432751,0.4703316855360931,0.079944438405879,-0.6795673011291669
sub-01,sternberg,0.9671173270567699,-0.09989431177569956,0.8153058502722058,-0.5546257937667055,0.19987862929938285,-0.3752190917433176,-0.36340912564071487
sub-02,msit,1.0700437050125022,-0.7382972305526837,1.5348643047135386,-1.3097618295074684,0.9568274979534896,0.6532671530333523,0.7185395825946046
sub-02,sternberg,0.44717162981100833,-0.08718706144963184,0.27376018677785235,-0.31327252627758756,0.006260727356572016,1.3262858208465327,0.6362011301138223
sub-03,msit,1.1066887586140555,-0.5610617001071738,1.207807155678318,-0.2890636018929801,0.44732921157128835,-0.13676831286677543,0.20527213923353282
sub-03,sternberg,0.1339441819372739,-1.1447212315838002,0.7008191772009796,-0.6466514937873302,0.7904162590799062,0.2963717450028878,-0.007329246389002869
sub-04,msit,-0.7789076556960912,-0.4749835627381619,-0.4244952119495474,-0.2139970749109875,-0.6826307589569398,0.47649061463460574,0.15982217391320894
sub-04,sternberg,0.021352674141825956,1.1244963090198703,-0.47371553885926354,0.7920831814590151,-1.3982168138025175,1.009220651129874,0.8269959092049042
sub-05,msit,1.2146705584077175,0.29619217023847455,0.9989423141551776,-0.38154022337626736,-0.1172393786877009,0.718269259093708,0.9079964426465796
sub-05,sternberg,-1.1249630995963207,-0.4027724902760933,-0.49248820928628345,-0.2311418835127197,-0.26265559849850695,0.01587346206394865,-0.3548037765753255
sub-07,msit,1.6209852977047015,1.2460566090416565,0.4027432506874993,0.6674273942672675,-0.69669243606438,-1.68046585570311,-1.7192764517862393
sub-07,sternberg,2.7428599315979185,-0.9374061871185031,2.2179528860050213,-0.6990328820648134,0.09504410408203856,0.09849376949385277,-0.37458753366838166
sub-08,msit,-0.5816838338644316,-0.2817837517466819,-0.40259606554291355,-1.2962208036945488,0.6929255528114464,-1.1037338986017697,-1.5277562131601488
sub-08,sternberg,0.14753076463322,-1.006113452474771,0.8581168981763354,-1.3330091033506797,-0.1486330282754047,-0.40847373056393044,-0.5006829665751075
sub-09,msit,-0.9687454646878336,-1.0109516819621855,-0.23902353784537472,-0.31057619037251605,0.27535725383433196,1.2806189381880104,1.4518991180669611
sub-09,sternberg,1.9540863664087373,-0.36470460498728424,1.6110897237047033,-0.4762366550675502,-0.43396679529246746,-0.7466332034713574,-0.9513805053656901
sub-10,msit,-0.0145485668467078,0.22144859036528447,-0.17317926414528695,0.6150779966388852,0.01474425227587739,-0.5799890866040702,-0.6203951812792494
sub-10,sternberg,0.2124318571598951,-0.0893004572668212,0.19169951662521223,-0.4228529874119049,-0.44962071378312024,0.4417400757035723,0.03229930197524644
sub-11,msit,0.18406756224021298,-0.6769993994122121,0.4653973582576649,-0.5095437162713118,1.1029426368027235,0.5073641362226451,0.49296040401971186
sub-11,sternberg,0.6124056358357343,0.8570061817420096,-0.116550076530108,0.7277857752441135,0.9166493366468282,-1.2155227639545685,-1.4085824152880198
sub-12,msit,0.1299978511130897,-1.0428515612325069,0.6450337248397382,-0.5482577267616637,1.1910317420050691,-1.0534908227925082,-0.7431414746262834
sub-12,sternberg,-1.1943044063430377,0.5840445041749694,-1.1110503752702128,0.6028968017359788,0.6288960556953893,-0.1626775971764171,-0.15458368532921116
sub-13,msit,0.808538873679185,-1.0631484758049043,1.7177515597218533,-1.0113888055492475,1.2395201766710935,-1.2647113730130983,-1.3066828641687307
sub-13,sternberg,0.1459722412697717,0.6628150976203131,-0.15655260432665924,0.35250724489568636,0.4745349181963022,-0.2962614361715705,-0.18448778377039593
sub-14,msit,0.3602426835025285,-0.10081662255160284,0.48915865021842697,-0.09394695587217222,-0.027138111840166353,-0.7462206394855522,-0.24025654126799806
sub-14,sternberg,-0.023789731945754566,0.6481862720402272,-0.2048933065616404,0.27467288168398596,-2.080629947692838,-0.5773523886115618,0.213098366396919
