feature,mean_AP,p_AP,q_AP,mean_PA,p_PA,q_PA,same_direction,nominal_both,fdr_both
surz_tree_span_time,-0.42065182249525934,0.0010763623075357581,0.007534536152750307,-0.3919844682839043,0.00639640771247632,0.04477485398733424,True,True,True
surz_tree_span_events,-0.23498059762569115,0.07787173371875021,0.27255106801562573,-0.21778588331074214,0.12988139979305333,0.4545848992756866,True,False,False
surz_pivot_rate,0.1634817735691033,0.2227639350376259,0.4857419311830729,0.05691867784945404,0.7015483598841359,0.8184730865314919,True,False,False
surz_mean_D,0.16234247232411023,0.284511060185189,0.4857419311830729,0.11566534497509638,0.398401196075008,0.697202093131264,True,False,False
surz_multilevel,0.1277152978702309,0.3527964932045752,0.4857419311830729,0.14245402749128872,0.3299242189690379,0.697202093131264,True,False,False
surz_mean_H,0.10794740373215271,0.4163502267283482,0.4857419311830729,0.07622430917402444,0.6180017754968072,0.8184730865314919,True,False,False
surz_mean_lambda,0.009548153681919197,0.944130567411521,0.944130567411521,0.018703007216323782,0.9015771389549342,0.9015771389549342,True,False,False
