key,subject,task,direction,tr,n_volumes,n_anchors,n_peaks,anchor_interval_mean,anchor_interval_cv,peak_rate_per_min,coactivation_mean,coactivation_sd,global_sd,global_lag1,spectral_entropy,dvars_pct,tsnr,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,surz_mean_H,surz_mean_D,surz_mean_lambda,surz_multilevel,surz_pivot_rate,surz_tree_span_events,surz_tree_span_time
ds004796/sub-01/func/sub-01_task-msit_dir-PA_bold.nii.gz,sub-01,msit,PA,0.800000011920929,330,83,69,2.9743804878048783,0.5209410311361652,15.681817948140885,0.8788691586246871,0.4777873594619303,0.6578594715880234,0.8861004964722836,0.7847354553537877,7.262710877227356,23.004353248797283,82,59,4.796610169491525,1.3232621787415757,1.2542372881355932,0.7564258137379175,4.5423728813559325,1.4422448247174655,0.13559322033898305,0.2711864406779661,0.5,1.8125,2.6140350877192984,6.774122807017544,0.03389830508474576,0.7288135593220338,153.32275187920573,399.16840536044157,0.5149234341438766,-0.21709970659006317,0.5079014994881369,-0.825698051671926,0.8734618751700814,0.9972045325631217,-0.15191663233120375
ds004796/sub-02/func/sub-02_task-msit_dir-PA_bold.nii.gz,sub-02,msit,PA,0.800000011920929,330,83,79,2.974380487804878,0.564444331945627,17.954545187001884,0.8899349079144958,0.45678017184444236,0.7403274725826755,0.8007626741479189,0.791854651424196,9.087033319231933,18.885458195619982,82,65,4.892307692307693,1.1608600922790628,1.2615384615384615,0.8710073743395322,4.630769230769231,1.2570952475999826,0.15384615384615385,0.23076923076923078,0.4,1.7333333333333334,2.274193548387097,5.522177419354839,0.046153846153846156,0.7384615384615385,154.35744965396802,396.84316688281734,0.9575953587935965,0.3062718717644704,0.8822856319352781,-0.6686897695883408,-0.5634642504265192,-0.4531341156314252,-0.6742795509775831
ds004796/sub-03/func/sub-03_task-msit_dir-PA_bold.nii.gz,sub-03,msit,PA,0.800000011920929,330,83,85,2.963979268292683,0.494255520903732,19.31818153031848,0.9157213820667718,0.4024240194033891,0.6504023120816201,0.8261370849282355,0.9016962369652226,8.676020817703785,19.721464042100273,82,67,4.865671641791045,1.1267481016121828,1.2537313432835822,0.703740731831743,4.611940298507463,1.3021569970117182,0.16417910447761194,0.2835820895522388,0.631578947368421,1.8421052631578947,2.21875,5.26171875,0.04477611940298507,0.746268656716418,163.21543864158343,393.96962689683335,1.5022997041337305,-0.10259350845936278,1.185463514136871,-0.4270238197056905,2.3759777144605914,-0.6171153471870895,-0.6057491358834366
ds004796/sub-04/func/sub-04_task-msit_dir-PA_bold.nii.gz,sub-04,msit,PA,0.800000011920929,330,83,80,2.966236585365854,0.5306816456966207,18.181817910887982,0.8156276541376446,0.5794557879589021,0.8192349989185724,0.8191158649560838,0.8957782890600781,6.617408103711065,23.712830668353924,82,64,4.71875,1.326993857714759,1.25,0.642416074439621,4.46875,1.4471510051636047,0.1875,0.25,0.5625,1.9375,2.2063492063492065,5.545634920634921,0.015625,0.703125,160.63203931533653,375.54529434169126,-0.6702979519311195,-0.2993867022420612,-0.33657042622499667,0.10686720471986141,0.8234799660616643,-0.43476068671306456,-0.4376888935134145
ds004796/sub-05/func/sub-05_task-msit_dir-PA_bold.nii.gz,sub-05,msit,PA,0.800000011920929,330,83,77,2.970710975609756,0.5243924578711036,17.499999739229683,0.8726740060635989,0.48904480335771433,0.7964572587075336,0.9007745914655637,0.6752440623720918,7.621265946456374,21.186249533126635,82,62,4.983870967741935,1.3609535649788187,1.2419354838709677,0.6938957230434258,4.741935483870968,1.5357540345985836,0.12903225806451613,0.25806451612903225,0.5625,2.0,2.459016393442623,6.608606557377049,0.016129032258064516,0.9516129032258065,157.70652001472718,395.76078326051356,1.613827577012352,-0.30763925916869345,1.4258566457409987,-1.1838457426434126,0.713150038279432,-0.0012476142495971225,0.3326324605573807
ds004796/sub-07/func/sub-07_task-msit_dir-PA_bold.nii.gz,sub-07,msit,PA,0.800000011920929,330,83,86,2.973123170731707,0.5644271792968173,19.545454254204582,0.9305766607338332,0.36665304335267995,0.7518546222131843,0.8732343046235693,0.7395825494387821,9.187049592310256,21.34890525635595,82,70,4.871428571428571,1.2385291483633947,1.3714285714285714,0.9805563131354639,4.5,1.4817733206914758,0.2,0.22857142857142856,0.5,2.0,2.2941176470588234,5.033088235294118,0.02857142857142857,0.7571428571428571,160.19484865272244,385.17853865022283,0.893493530893599,0.9372152010423684,0.21825869270160433,0.027779288820755206,-0.5806814145176444,-0.5982554623187493,-1.0495935020737739
ds004796/sub-08/func/sub-08_task-msit_dir-PA_bold.nii.gz,sub-08,msit,PA,0.800000011920929,330,83,70,2.970507317073171,0.5352767474640404,15.909090672026984,0.8171805695274791,0.5772570399302748,0.8381263214354283,0.922789003606566,0.9052532071539782,6.278859845390842,25.61670670231211,82,56,4.732142857142857,1.2719501337934371,1.2321428571428572,0.76255721522618,4.5,1.4270121360253514,0.10714285714285714,0.25,0.35714285714285715,1.9285714285714286,2.2181818181818183,6.036363636363636,0.017857142857142856,0.8035714285714286,149.92877492527018,398.3841182610277,-0.20158151204994265,-0.3906807313059909,0.01197678896130623,-1.774970530900641,0.33059919316131586,-1.078553460989255,-1.8240555674126535
ds004796/sub-09/func/sub-09_task-msit_dir-PA_bold.nii.gz,sub-09,msit,PA,0.800000011920929,330,83,84,2.9814914634146343,0.5340541390595857,19.09090880643238,0.8857360633278666,0.464894131439557,0.7568776454754613,0.8394642866168778,0.903831732419885,6.831930157164396,26.826104635476092,82,67,4.582089552238806,1.327440619357225,1.1791044776119404,0.45810456442753783,4.402985074626866,1.3823530826921187,0.14925373134328357,0.23880597014925373,0.5,1.875,2.6818181818181817,6.350378787878788,0.014925373134328358,0.6716417910447762,159.28358130148172,390.4194939123827,-1.889776378071153,-1.2277676687172885,-0.8350851228071636,-0.8804095931102424,0.2439245686243474,1.4822959111668104,1.285734990044115
ds004796/sub-10/func/sub-10_task-msit_dir-PA_bold.nii.gz,sub-10,msit,PA,0.800000011920929,330,83,85,2.9745743902439026,0.5208704674926824,19.31818153031848,0.9107062199302516,0.41368196010640895,0.5858824499866087,0.6516170722441458,0.889321569053626,9.104236159568305,21.001393649588223,82,66,4.787878787878788,1.271161207656533,1.3333333333333333,0.7302967433402215,4.454545454545454,1.5108002788315478,0.24242424242424243,0.22727272727272727,0.5333333333333333,1.8666666666666667,2.230769230769231,5.3173076923076925,0.015151515151515152,0.803030303030303,193.3936166374341,393.5368194207705,0.18742868704362187,0.6766594952541364,-0.3498521215750387,1.237094384663595,-0.27610365174081997,-0.844786056895783,-0.6730718025740525
ds004796/sub-11/func/sub-11_task-msit_dir-PA_bold.nii.gz,sub-11,msit,PA,0.800000011920929,330,83,106,2.979051219512195,0.5260815752618339,24.090908731926575,0.8733495365109787,0.4878337241123373,0.6600997337976845,0.7715932585778081,0.8994266226805403,9.9706525655729,18.962055709181417,82,84,4.892857142857143,1.2896049375714278,1.2142857142857142,0.5612256074379196,4.678571428571429,1.3635594303651357,0.15476190476190477,0.23809523809523808,0.7,2.1,2.6097560975609757,4.940548780487805,0.023809523809523808,0.7380952380952381,166.0468150941287,390.1181780713061,0.18496659772109542,-1.3174351025571593,0.7394958403733455,-1.0184848099007655,1.7640205791447074,-0.14589929304867,-0.027064668849537177
