feature,mean_msit,p_msit,q_msit,mean_sternberg,p_sternberg,q_sternberg,same_direction,nominal_both,fdr_both
surz_mean_H,0.4277329093954339,1.3968648557928588e-05,9.778053990550011e-05,0.09208585645308856,0.4023834027968916,0.4694473032630402,True,False,False
surz_mean_lambda,0.40890798012094215,7.133796009233374e-05,0.0002496828603231681,0.014125580449121494,0.8943145533740614,0.8943145533740614,True,False,False
surz_pivot_rate,0.2947815517534937,0.002949479390221897,0.006882118577184426,0.11020022570927866,0.20154469347216125,0.28216257086102575,True,False,False
surz_tree_span_time,-0.3189689796185047,0.004046007458849949,0.007080513052987411,-0.4063181453895817,1.6426368186536565e-06,1.1498457730575596e-05,True,True,True
surz_tree_span_events,-0.12682745167657616,0.257698293256376,0.3607776105589264,-0.22638324046821665,0.003813991779337605,0.013348971227681618,True,False,False
surz_mean_D,-0.0697603044651768,0.4754992167006512,0.5547490861507597,0.1390039086496033,0.170603815214242,0.28216257086102575,False,False,False
surz_multilevel,0.005418554714405011,0.9610538507808922,0.9610538507808922,0.13508466268075978,0.16670209471823452,0.28216257086102575,True,False,False
