contrast,feature,n0,n1,PD-NC_mean,PD-MCI_mean,diff,welch_p,hedges_g,q_BH
PD-MCI-vs-PD-NC,B0_mean_D,18,15,3.393143738977072,3.527460317460317,0.13431657848324496,0.03732716782945728,0.772162099479031,0.5127649378496445
PD-MCI-vs-PD-NC,B0_mean_H,18,15,3.827976190476191,3.982592592592592,0.15461640211640093,0.051722606792065515,0.6982978223169967,0.5127649378496445
PD-MCI-vs-PD-NC,tree_span_time,18,15,1.025644020944436,0.9801336284454318,-0.045510392499004126,0.05304464874306667,-0.6940536160571266,0.5127649378496445
PD-MCI-vs-PD-NC,tree_span_events,18,15,2.045077683039347,1.9717809093405168,-0.07329677369883014,0.08661298528170604,-0.6055941247361105,0.5179083851197477
PD-MCI-vs-PD-NC,B2_mean_H,18,15,5.219775132275132,4.972936507936507,-0.2468386243386247,0.0892945491585772,-0.6014357353113692,0.5179083851197477
PD-MCI-vs-PD-NC,B1_mean_H,18,15,5.0185846560846565,4.826878306878307,-0.1917063492063491,0.12487907450621308,-0.5624756866006859,0.5605903631087457
PD-MCI-vs-PD-NC,sd_D,18,15,1.136950280972381,1.18070520889472,0.04375492792233904,0.13706273357071103,0.5343841982036837,0.5605903631087457
PD-MCI-vs-PD-NC,B3_mean_lambda,18,15,4.904982363315696,5.135608465608467,0.2306261022927707,0.1839154163444634,0.4664963978640514,0.5605903631087457
PD-MCI-vs-PD-NC,B3_mean_H,18,15,4.959876543209877,5.181507936507938,0.22163139329806114,0.19257140931851713,0.45575183904812344,0.5605903631087457
PD-MCI-vs-PD-NC,B2_mean_lambda,18,15,4.851256613756614,4.55468253968254,-0.29657407407407366,0.19330702176163644,-0.45379031363694944,0.5605903631087457
PD-MCI-vs-PD-NC,B1_multilevel,18,15,0.16377865961199292,0.11492063492063492,-0.048858024691358,0.2247246471765193,-0.41060776527844856,0.5924558880108236
PD-MCI-vs-PD-NC,B1_mean_D,18,15,1.1897707231040564,1.1327777777777777,-0.05699294532627874,0.2665041639689327,-0.3792546387161838,0.5993992382465871
PD-MCI-vs-PD-NC,mean_D,18,15,1.7515817901234567,1.781097883597884,0.029516093474427185,0.2686962102484701,0.39672589965590743,0.5993992382465871
PD-MCI-vs-PD-NC,B1_mean_lambda,18,15,4.8288139329806,4.694100529100528,-0.13471340388007125,0.29483049464030137,-0.3809283403248585,0.6058860224028197
PD-MCI-vs-PD-NC,pivot_rate,18,15,0.2242614638447972,0.24044312169312174,0.016181657848324538,0.3205594887614571,0.3443937302902402,0.6058860224028197
PD-MCI-vs-PD-NC,B0_multilevel,18,15,1.0,0.9916666666666667,-0.008333333333333304,0.33428194339465916,-0.37484121261685,0.6058860224028197
PD-MCI-vs-PD-NC,B2_multilevel,18,15,0.231657848324515,0.2849206349206349,0.05326278659611991,0.40316242082168247,0.28811464695309513,0.6877476590487523
PD-MCI-vs-PD-NC,mean_lambda,18,15,4.004971340388007,3.9598809523809524,-0.04509038800705456,0.5487372324555101,-0.206432669742042,0.8542394597840156
PD-MCI-vs-PD-NC,compound_pivot_fraction,18,15,0.5903439153439154,0.6307671957671956,0.04042328042328025,0.5596741288240102,0.20054113486326888,0.8542394597840156
PD-MCI-vs-PD-NC,B2_mean_D,18,15,1.3685185185185185,1.418253968253968,0.04973544973544963,0.6159480442120231,0.1704300854699276,0.865540307995127
PD-MCI-vs-PD-NC,tree_root_fraction,18,15,0.037059082892416224,0.036137566137566135,-0.0009215167548500894,0.6427366726288848,-0.16012715258388163,0.865540307995127
PD-MCI-vs-PD-NC,B0_mean_lambda,18,15,1.434832451499118,1.4551322751322748,0.020299823633156855,0.6566167853756136,0.15354165958606455,0.865540307995127
PD-MCI-vs-PD-NC,B3_mean_D,18,15,1.0548941798941798,1.0458994708994707,-0.00899470899470911,0.7406194740858089,-0.11144691164411943,0.8949151978536892
PD-MCI-vs-PD-NC,B3_multilevel,18,15,0.0548941798941799,0.0458994708994709,-0.008994708994709,0.7406194740858119,-0.11144691164411809,0.8949151978536892
PD-MCI-vs-PD-NC,multilevel,18,15,0.3625826719576719,0.3593518518518518,-0.003230820105820098,0.8130155262013168,-0.08136568449470076,0.9210472840226198
PD-MCI-vs-PD-NC,mean_H,18,15,4.756553130511464,4.740978835978836,-0.015574294532628485,0.8284947463617175,-0.07453829008471648,0.9210472840226198
PD-MCI-vs-PD-NC,sd_lambda,18,15,1.9640965981899663,1.975242664554292,0.01114606636432569,0.8575267816762323,0.06125536908481995,0.9210472840226198
PD-MCI-vs-PD-NC,sd_H,18,15,1.2707451127184501,1.2729120474372637,0.0021669347188135735,0.971241522644492,0.012592538676005698,0.9902447251595172
PD-MCI-vs-PD-NC,pivot_depth,18,15,1.8392195767195767,1.8378571428571429,-0.0013624338624338428,0.9902447251595172,-0.004179682542107488,0.9902447251595172
