contrast,feature,n0,n1,Control_mean,PD-NC_mean,diff,welch_p,hedges_g,q_BH
PD-NC-vs-Control,B3_mean_D,22,18,1.1303030303030301,1.0548941798941798,-0.07540885040885037,0.04535557426004121,-0.6168078186852987,0.923477715564515
PD-NC-vs-Control,B3_multilevel,22,18,0.11704545454545455,0.0548941798941799,-0.06215127465127465,0.07223116749439822,-0.5558970511782401,0.923477715564515
PD-NC-vs-Control,B2_mean_H,22,18,5.009469696969696,5.219775132275132,0.21030543530543522,0.09553217747219121,0.5355167282103571,0.923477715564515
PD-NC-vs-Control,B2_mean_lambda,22,18,4.570129870129871,4.851256613756614,0.28112674362674284,0.17889367455229957,0.42578458065550157,0.9558343808090297
PD-NC-vs-Control,B1_mean_D,22,18,1.1288600288600288,1.1897707231040564,0.06091069424402762,0.1857212720851099,0.4341702934834784,0.9558343808090297
PD-NC-vs-Control,mean_lambda,22,18,3.913649891774891,4.004971340388007,0.09132144861311575,0.23777672792591653,0.36567001415501243,0.9558343808090297
PD-NC-vs-Control,B1_multilevel,22,18,0.11731601731601732,0.16377865961199292,0.046462642295975604,0.2398235765394067,0.3792215141655006,0.9558343808090297
PD-NC-vs-Control,mean_H,22,18,4.683509199134199,4.756553130511464,0.07304393137726528,0.2960558676328172,0.32575968449218456,0.9558343808090297
PD-NC-vs-Control,B3_mean_lambda,22,18,4.770743145743146,4.904982363315696,0.1342392175725502,0.37086748291271837,0.2828847216708784,0.9558343808090297
PD-NC-vs-Control,multilevel,22,18,0.3751848845598845,0.3625826719576719,-0.012602212602212615,0.4057181161931057,-0.25283974768150175,0.9558343808090297
PD-NC-vs-Control,pivot_rate,22,18,0.2350108225108225,0.2242614638447972,-0.010749358666025305,0.41240758350922196,-0.2673623656121946,0.9558343808090297
PD-NC-vs-Control,mean_D,22,18,1.7698593073593074,1.7515817901234567,-0.018277517235850693,0.4383803069380331,-0.23620853430588332,0.9558343808090297
PD-NC-vs-Control,pivot_depth,22,18,1.7672619047619045,1.8392195767195767,0.07195767195767222,0.47690835335700843,0.22599009324171024,0.9558343808090297
PD-NC-vs-Control,B2_mean_D,22,18,1.439339826839827,1.3685185185185185,-0.07082130832130851,0.501791861295048,-0.20773068269036207,0.9558343808090297
PD-NC-vs-Control,tree_root_fraction,22,18,0.03586760461760461,0.037059082892416224,0.0011914782748116137,0.5326633914656228,0.19341077619445401,0.9558343808090297
PD-NC-vs-Control,B0_mean_lambda,22,18,1.4602092352092355,1.434832451499118,-0.025376783710117534,0.5496387986872274,-0.18659173397216236,0.9558343808090297
PD-NC-vs-Control,B2_multilevel,22,18,0.2663780663780664,0.231657848324515,-0.03472021805355138,0.5603167059915002,-0.1825508220595647,0.9558343808090297
PD-NC-vs-Control,sd_H,22,18,1.296253363341662,1.2707451127184501,-0.025508250623211826,0.6040770139823963,-0.16341899948062377,0.9732351891938608
PD-NC-vs-Control,compound_pivot_fraction,22,18,0.6216991341991343,0.5903439153439154,-0.03135521885521886,0.6451145341787415,-0.14272709611776324,0.977455367576501
PD-NC-vs-Control,B3_mean_H,22,18,4.901046176046176,4.959876543209877,0.058830367163700714,0.6741071500527592,0.1346070704698234,0.977455367576501
PD-NC-vs-Control,B1_mean_H,22,18,4.982377344877345,5.0185846560846565,0.03620731120731158,0.7092183725353816,0.11410909469760598,0.9793968001679078
PD-NC-vs-Control,B1_mean_lambda,22,18,4.853517316017316,4.8288139329806,-0.02470338303671671,0.8181351719875949,-0.06925429530849958,1.0
PD-NC-vs-Control,B0_mean_D,22,18,3.3809343434343435,3.393143738977072,0.012209395542728707,0.8254247760375577,0.06684179657631324,1.0
PD-NC-vs-Control,tree_span_time,22,18,1.0207649025200884,1.025644020944436,0.004879118424347517,0.8359299380470511,0.06280286675996953,1.0
PD-NC-vs-Control,B0_mean_H,22,18,3.8411435786435786,3.827976190476191,-0.013167388167387717,0.8687900194694074,-0.050071305791709,1.0
PD-NC-vs-Control,sd_lambda,22,18,1.9695332472666676,1.9640965981899663,-0.005436649076701272,0.915263360210988,-0.034801189222047,1.0
PD-NC-vs-Control,tree_span_events,22,18,2.046533180245442,2.045077683039347,-0.0014554972060949467,0.974853963466494,-0.009520972102913899,1.0
PD-NC-vs-Control,sd_D,22,18,1.1375893329837619,1.136950280972381,-0.000639052011380814,0.9803355443260232,-0.007530030367971408,1.0
PD-NC-vs-Control,B0_multilevel,22,18,1.0,1.0,0.0,,,1.0
