row_id,subject,session,speed_mean,theta_power,theta_frequency,theta_amp_cv,theta_cycle_duration_sd,raw_firing_rate,population_event_rate,active_units,events_per_cycle_mean,events_per_cycle_sd,events_per_cycle_q25,events_per_cycle_median,events_per_cycle_q75,frac_cycles_ge2,phase_sin,phase_cos,phase_R,phase_entropy8,population_isi_cv,cycle_phase_R_mean,cycle_phase_R_sd,cycle_phase_entropy8_mean,cycle_phase_entropy8_sd,cycle_pairdist_mean,cycle_pairdist_sd,cycle_gap_cv_mean,cycle_gap_cv_sd,cycle_occ32_mean,cycle_occ32_sd,n_ca1_pyramidal,n_theta_cycles,n_phase_events,lfp_source,tma_mean_d4,tma_sd_d4,tma_mean_d5,tma_sd_d5,tma_mean_d6,tma_sd_d6
M01_20240318:10,M01,M01_20240318,7.042109934326929,4.6832016288031074e-09,8.527287319422282,0.5093809962272644,0.017140448010014218,98.8,83.7,47,9.847058823529412,5.573119760560167,5.0,10.0,14.0,0.9647058823529412,0.11788652690191243,-0.020949869536794646,0.11973358032984747,0.9888038987387228,1.5753940573747294,0.44160075544145877,0.2493919749834319,0.6774843678326159,0.1983136011374671,0.2229110299741515,0.05941959931014146,1.0653852396032963,0.4249574107847241,0.878586725980468,0.12059257657349973,74,85,837,Best_Ripple_channel_LFP_CA1,0.9362933964209309,0.13394007730385935,0.9571698813326847,0.11969062575073772,0.9707211437511598,0.10347488208493674
M01_20240318:11,M01,M01_20240318,11.296534723752515,6.020582914780579e-09,8.360522022838506,0.46471986174583435,0.017357359486261468,66.1,58.6,43,6.939024390243903,6.207020240904867,3.0,5.0,10.0,0.8414634146341463,0.11340422944310452,-0.06079414492865182,0.12867185905702233,0.9894403425972587,1.83679328587336,0.4590250566739478,0.25665491893072917,0.5991377496487691,0.22864587129865868,0.2292566563396933,0.07364956158216887,0.8904123458268491,0.43703260671305344,0.9280448059092562,0.09752751741522309,74,82,569,Best_Ripple_channel_LFP_CA1,0.9423933954222877,0.12755146481235913,0.9662909722945123,0.10280798608786759,0.9805599276511658,0.08509381019147721
M01_20240318:12,M01,M01_20240318,11.3708534883998,4.408672387687018e-09,8.409180846853832,0.43515703082084656,0.018907174101218168,58.3,54.9,40,6.470588235294118,4.249897016382861,2.0,6.0,10.0,0.8352941176470589,0.23033201331680372,-0.022593683196006686,0.23143748805872777,0.9744289722325115,1.541378639699973,0.48272079851270216,0.2467211152966934,0.6074489894497492,0.20272429231078332,0.22537311093928705,0.08289085758877102,0.9973605481979868,0.46688084100111715,0.9054510630214856,0.09887523334151438,74,85,549,Best_Ripple_channel_LFP_CA1,0.9312786766059662,0.13934702246215086,0.9507530074583006,0.12026048135223064,0.962874271855178,0.10405637741380494
M01_20240318:13,M01,M01_20240318,0.5736811376202093,5.470019126815585e-09,7.670569236979942,0.4560587704181671,0.022315819265059905,65.7,58.1,36,7.618421052631579,6.449738196781133,2.0,6.0,11.0,0.8421052631578947,0.22514093936072876,0.054021142409087806,0.23153126441889935,0.9721730885952852,1.8569215173815963,0.5174119987393131,0.2684127794832699,0.6195694668661598,0.2375950719635713,0.21265579388396239,0.07821969355861895,0.9705856893227625,0.5839226711602578,0.8855401308040458,0.11799741170861781,74,76,579,Best_Ripple_channel_LFP_CA1,0.9291742060658053,0.14111126910064525,0.9460642107113928,0.12012499849057717,0.9607862279426914,0.10167669688676723
M01_20240318:14,M01,M01_20240318,9.757526011073072,6.826764777589051e-09,8.585858585858901,0.48809388279914856,0.015752995357879763,79.8,69.7,46,8.129411764705882,6.620293899558131,3.0,7.0,12.0,0.8352941176470589,0.09319257853555474,-0.04740789235977821,0.10455795020992835,0.9923857829748866,1.7491013829044706,0.5078067468344092,0.2676554608932286,0.6446605057381827,0.24096402067113984,0.20739498849634588,0.06631239224373404,1.0540827385962932,0.4546842572194143,0.8697385973312175,0.1274853803938894,74,85,691,Best_Ripple_channel_LFP_CA1,0.9318683921319091,0.16459664742638608,0.9480185433041379,0.1488884242934844,0.9613761415903369,0.12444652125990877
M01_20240318:15,M01,M01_20240318,2.5118998029314756,5.4449803104859466e-09,8.15758058097917,0.4799174964427948,0.023646549206319523,29.5,29.1,25,3.6463414634146343,3.148081725214568,1.0,3.0,5.75,0.7073170731707317,0.10623786208456368,0.006510515614403244,0.10643716528480153,0.9769459212586776,1.3026253031676702,0.54274501384079,0.26781597383823597,0.4995947439565523,0.22669114685129235,0.22012342708323143,0.08713165333609786,0.7270134183664743,0.48664599193933583,0.9594196033851207,0.08408256156759326,74,82,291,Best_Ripple_channel_LFP_CA1,0.9552335007396935,0.134482681566182,0.9697613910087174,0.11180007731197592,0.9780076647955117,0.0957946344175653
M01_20240318:16,M01,M01_20240318,11.103420656255757,5.373599404239227e-09,8.4100921105324,0.4362572729587555,0.017087738891525817,100.9,88.0,48,10.404761904761905,5.486278716898653,6.0,10.0,14.25,0.9761904761904762,0.1906159005970313,-0.05109348044574038,0.19734478788272208,0.9816055757805432,1.3443279321829857,0.3770169152037025,0.21130645911252316,0.7363494575331029,0.15520954882865923,0.23984981736950728,0.04827974569340304,0.9740532558007404,0.4106691464481919,0.8755437020525181,0.10909913580041523,74,84,880,Best_Ripple_channel_LFP_CA1,0.9841318236938972,0.12843239671397,0.9943821802707782,0.11393505388159256,1.000291791662487,0.0942623451467507
M01_20240318:17,M01,M01_20240318,5.288323141920915,6.920735976151446e-09,8.530710558008883,0.47852057218551636,0.015565817610059268,65.2,61.0,39,7.152941176470589,5.864554305220436,3.0,5.0,10.0,0.9294117647058824,0.1586045937653862,-0.0013987526205688121,0.15861076152763634,0.9869301390379103,1.4406141781245425,0.452869486764705,0.280036882175112,0.6141116855692434,0.23798114868984685,0.23058691493280067,0.07406384636092843,0.8524464285889581,0.43697030973841133,0.9281035110382467,0.10224455484529442,74,85,610,Best_Ripple_channel_LFP_CA1,0.9682433306076237,0.14015499422687225,0.9825536199307796,0.1199366353980577,0.9928631515064126,0.10285685196889248
M01_20240318:18,M01,M01_20240318,6.463348030260981,8.610561191459158e-09,8.070944599441962,0.41181886196136475,0.020178952486612018,37.0,35.8,37,4.419753086419753,4.227482103838123,1.0,3.0,7.0,0.6666666666666666,0.061759253230283105,-0.10477175101172202,0.12161959204677719,0.989144153875113,2.3362773761840914,0.5488135583935987,0.2661361771224683,0.5630451971338716,0.22079989372377268,0.20688569807688775,0.08168382079877982,0.9269644247515253,0.5161385054620393,0.9110336558865971,0.12766777789715214,74,81,358,Best_Ripple_channel_LFP_CA1,0.9286901294654812,0.1632177929648539,0.9455660463507136,0.14429129421645118,0.9585672290816923,0.12146897978042144
M01_20240318:19,M01,M01_20240318,11.259496093261095,5.30727610750786e-09,8.206565252201607,0.5238134264945984,0.019597884712731793,91.9,80.3,45,9.804878048780488,6.549788469659915,5.25,8.0,14.0,0.9390243902439024,0.16189552072477473,-0.08616377808280663,0.1833967183028342,0.9827598979535505,1.6072629900831126,0.4417917981117953,0.23955432835943977,0.6882918622609416,0.18291785865672613,0.22403504491668047,0.055225712740445125,1.0482913445855246,0.4179838600297002,0.8801649939312717,0.10721241486055223,74,82,803,Best_Ripple_channel_LFP_CA1,0.950244460933046,0.1277030065193693,0.9692119066323657,0.10929690530239766,0.9788712881953467,0.09300263341615114
M01_20240318:20,M01,M01_20240318,11.402153424240456,5.916291275768779e-09,8.391322144903864,0.49395015835762024,0.017313239690888074,51.1,44.4,40,5.414634146341464,4.906411073033432,2.0,4.0,7.75,0.7560975609756098,0.058275218469310865,0.004087215487611159,0.05841837397675562,0.9946804140813293,1.881427897658904,0.5052500668014326,0.2835092591273739,0.604562787622267,0.21406301284314447,0.22054110676616467,0.09156259942701325,0.7965899252915873,0.5368231549696728,0.9405113974405145,0.09078362476266658,74,82,442,Best_Ripple_channel_LFP_CA1,1.0002695435217566,0.12511357733590825,1.008816070585616,0.10573965339779293,1.0125960024987068,0.08644984418131428
M01_20240318:21,M01,M01_20240318,11.48853575303493,5.9309673228956255e-09,8.206565252201607,0.5289662480354309,0.022125970412533485,82.2,72.5,44,8.853658536585366,5.807874499586825,4.0,8.5,12.75,0.926829268292683,0.1983703094482467,-0.058572374901879894,0.20683689896205543,0.980307164137235,1.5809142705881236,0.4561165954518036,0.24324553467758847,0.6700653409574134,0.19491677686195688,0.22428870544456794,0.061806360014261305,0.9527204254588136,0.518174874840464,0.8743682700756598,0.13142575456021874,74,82,725,Best_Ripple_channel_LFP_CA1,0.9635664774256624,0.1318234127905476,0.9727526283757335,0.12240069394598563,0.980954632282903,0.10506824417606757
M01_20240318:22,M01,M01_20240318,10.957651511200954,5.6860020022035515e-09,8.471157724888926,0.4212077558040619,0.020710223749573573,46.4,44.8,36,5.321428571428571,4.319082662213038,2.0,4.0,8.25,0.7976190476190477,0.11362666388098498,-0.0025546995810158324,0.11365537925972347,0.9924835894416898,1.6704446176208958,0.5297222786581477,0.2584730631048427,0.5867533835428965,0.22547061127971987,0.21739105155489244,0.07788409260264408,0.8322421674433548,0.5225736712066538,0.9297655495416689,0.1152427874300813,74,84,448,Best_Ripple_channel_LFP_CA1,0.9651415813675587,0.15195161840274757,0.9789791968805374,0.13603799258328553,0.9872285595831319,0.11799655602940205
M01_20240318:23,M01,M01_20240318,3.41121495317383,1.3189486372398623e-08,8.63453815261041,0.36937570571899414,0.011607818488694686,63.8,61.6,34,7.127906976744186,4.291706123451185,4.0,6.5,9.0,0.9069767441860465,0.13330034422378934,-0.03732910326951127,0.13842847872127528,0.9894558697411094,1.5324025563474513,0.4529777232209065,0.24484982961508803,0.6439927341767309,0.17880664788393102,0.22685031276388642,0.06764719549902347,1.0183815653208603,0.42403440370407364,0.9336189772312634,0.08650215438577136,74,86,616,Best_Ripple_channel_LFP_CA1,0.950847830616253,0.12501517203017137,0.9746942907769091,0.10313689366340846,0.9869601700099204,0.0861547563862533
M01_20240318:24,M01,M01_20240318,13.088587595506738,4.056490969052536e-09,8.617234468938253,0.5390161275863647,0.02072106457447144,94.1,85.1,47,9.895348837209303,5.8107994180560905,5.0,9.5,14.0,0.9651162790697675,0.1466028232686934,-0.11847585037457524,0.1884911534060166,0.9831127163654373,1.4319481166878303,0.42079808594092627,0.24027110418238307,0.7058573937784424,0.19579044392807213,0.23005999978363814,0.06899624285039367,0.9412548452140207,0.4706185431156943,0.886368646577418,0.1122771302607651,74,86,851,Best_Ripple_channel_LFP_CA1,0.9726063501483158,0.13638830280454323,0.9853392378819086,0.11851449616485009,0.995533297513354,0.09765248455441528
M01_20240318:25,M01,M01_20240318,17.312481322437073,4.8258534566073865e-09,8.165322580645102,0.4550480842590332,0.021133555320662623,51.0,46.9,42,5.7407407407407405,4.529839339804939,1.0,5.0,10.0,0.7283950617283951,0.12237059492284001,-0.16254642913127443,0.20345983418133962,0.9779731627541478,2.025352508167534,0.5290680828928628,0.2515802105504067,0.6122763665927087,0.19124381973734017,0.20520024006037604,0.06799759631576309,1.0546657507866009,0.5013708950714054,0.8849413793660004,0.11439064596439551,74,81,466,Best_Ripple_channel_LFP_CA1,0.9192265831477838,0.13670556385322574,0.9358450929918908,0.1211740548392039,0.9508333915771443,0.10917986196420926
M01_20240318:26,M01,M01_20240318,10.138488194158212,4.907609819751674e-09,8.48303393213536,0.4662769138813019,0.02073495539775283,98.7,80.4,48,9.458823529411765,6.511076535186699,4.0,8.0,13.0,0.9529411764705882,0.17791035440333475,-0.03528299717730325,0.18137525766689833,0.9836231565238186,1.559846487483304,0.4172249108716563,0.2132018899458704,0.6973430911742371,0.18825361947268382,0.23395025642662723,0.05076564256578238,0.9688394922188304,0.3827564762705607,0.8979549660415976,0.11175347754124884,74,85,804,Best_Ripple_channel_LFP_CA1,0.9827757922741286,0.1223585539935382,0.9945314924240712,0.10174398298634534,1.0027469952760393,0.08596763641481543
M01_20240318:27,M01,M01_20240318,12.135856478587318,5.15970372603812e-09,7.781324820431406,0.4569183886051178,0.025481209572761124,51.5,48.5,42,6.230769230769231,4.919938435163006,2.25,5.0,9.75,0.8076923076923077,0.1663435148538974,-0.04495605882992161,0.17231138139852561,0.9827437246678438,1.7072288759533403,0.46782751189555544,0.24998434235708047,0.6256189805825814,0.21182180043809967,0.22863594311488167,0.0713050679624572,0.9622603982633979,0.46515316334596585,0.9107905762667667,0.11175158810565422,74,78,485,Best_Ripple_channel_LFP_CA1,0.9647225540887292,0.14104740627400011,0.9750325348133246,0.12089940803287039,0.9851680088419696,0.1000222758977448
