subject,surz_mean_H,surz_mean_D,surz_mean_lambda,surz_multilevel,surz_pivot_rate,surz_tree_span_events,surz_tree_span_time
sub-0001,-0.59137621559348,-0.30947817200346817,-0.44370688138956843,-0.29635214432930845,-0.08449160656497545,0.04811628024642826,0.04716596918384893
sub-0002,-0.04044693659528823,-0.17120793874155496,-0.17356212664318513,0.2520408254013047,-0.8432967839886274,-1.0964210389394962,-1.2472600343954228
sub-0003,1.1340256097658818,0.328789872654297,0.7108901212411439,0.24422954092071278,-0.2562552494648046,-0.48694185862622924,-0.4451712630313856
sub-0004,0.9369774048944608,-0.5115806930054837,1.0666215833244366,0.2171079030817977,-1.3148247821716363,-0.3145501647989304,-0.31533808678693637
sub-0005,0.8754381934546546,-0.180031970967754,0.8756367800152246,-0.4560676881791057,0.9421470762693777,-0.29339307017079214,-0.6371671847886063
sub-0006,-0.2450103463628336,0.5918787548030122,-0.3610402739576159,0.41587871942104154,-0.22050225680771154,1.4761227181779102,1.4246203619435605
sub-0007,-0.30593590108173535,1.0237480148515654,-0.6716845064805964,1.1338753450202608,-0.13418691220385157,0.41782027361668667,0.6448848880763819
sub-0008,1.6557246257368694,-1.1812371447827672,1.8655983137615275,-0.9807411613107101,0.05167510725432356,0.815822491914445,0.7297691140063137
sub-0009,0.25739054916512366,-0.1559056558538787,0.1667027042709548,-0.17381958630003072,-0.3587742447423645,0.9178610839180098,0.8900260791922081
sub-0010,-0.5963187160426587,0.5346632589539242,-0.6792951206888742,0.29588513584906573,0.5866070791059689,-0.5026337650488192,-0.35318193889531607
sub-0011,0.20565700750358418,-0.04279939911309424,0.23818821665364856,-0.18596823838848053,0.23621814755853263,-0.33716093291898547,-0.3427901408160285
sub-0013,0.6857263256252198,0.30703948362256367,0.3894689346405216,-0.0293090075602301,-0.060381820193524526,-1.2615197551136583,-1.2716625029602382
sub-0014,-1.0018031281236872,-0.6390936839037514,-0.5420937510672184,-0.5131248250198636,0.8196069731680536,0.9173979621331401,0.902705190316936
sub-0016,0.5356928282442248,0.2666623580215182,0.31529144673444404,0.532883730827124,0.7556478849496595,-0.571412012238336,-0.7604693167619617
sub-0017,-0.16291428742343372,0.16235357331193065,-0.22796743869723493,0.6371428972139367,-0.48995576306688565,0.5077624201169778,0.2963005605615476
sub-0018,-0.6299822731266792,0.19101609674598774,-0.5914732741036638,0.2131946956547799,0.21691272840135292,0.11407136526430157,-0.2419830826218382
sub-0019,-0.6601001574101356,0.9344276335610128,-0.8865083201024544,1.044730999243219,-0.27646314815831236,0.6923019945204784,0.7961733649580434
sub-0020,-0.42537256385393296,-0.9860399921919228,0.0008440559999402705,-1.027441926124227,1.140821067620368,-0.0063633676155987655,0.03661623261002769
sub-0021,-0.608477915680892,-0.12387362683681447,-0.4757617280831601,0.23398422542970332,-0.2037363790108774,0.05046658010121089,-0.4355988320652762
sub-0023,-0.4120524712042726,-0.6903130823725084,-0.08693042744672967,-0.9331004044448598,-0.4594390760463077,-0.029827351842820427,-0.11544029062910145
sub-0024,-0.09884099131389508,-0.10069648256493186,0.030420569848817525,0.038979813121644925,0.6578890350794019,0.427976089635756,0.23805035570696995
sub-0025,0.9563432518830434,0.030350142942109064,0.7904633539918634,-0.5560512687195617,-0.5535588513405302,-1.374162812747399,-1.298917550200201
sub-0026,0.4664469404241954,-0.07132613360706656,0.38133534725503243,0.22661843950751095,0.08106791364147263,0.5852415733554618,0.5202451469708679
sub-0029,-0.4700102981390105,2.184693887477756,-1.2358794673368698,-0.11816714089876394,-1.5288909160170236,0.7362798755193442,1.1803353832918773
sub-0031,-0.6123524163163336,0.45355712268004567,-0.66985670685688,1.1541246647033034,0.10056321790041571,-0.3896140030583685,-0.5102956565161642
sub-0032,-0.6640678123567536,0.3699793139173236,-0.6136282462800083,0.5051221867030198,0.8174178822097308,1.4349325350860742,1.3559602810275369
sub-0033,0.1638201055105759,0.10977024014120107,0.08218252665550237,0.44264079998928557,0.7456360789197959,-0.26251043919297296,-0.14766370773157902
sub-0034,0.19963523882120723,0.6685733071693055,-0.16347704573658103,0.879471773066046,0.6854122307778271,0.9471225624396041,1.3457491112136308
sub-0035,-0.21060768923661569,0.8744019825348142,-0.5804216886043919,0.06237848402396503,-1.0839945908567066,0.1852407055547369,0.010248099702120669
sub-0036,-1.56248286023651,-0.47467303385202103,-1.0709314116117008,-0.7648669554924288,0.012480238308932337,0.687093472084883,0.6650424447417139
sub-0037,0.40569338612585404,0.14326176887218603,0.25201634661721517,0.5507665841949935,0.5350582114123507,-0.45173641929546043,-0.5444961205450548
sub-0038,-0.2934807922683496,0.9696921649260005,-0.5250292416091741,1.1938436296992616,0.865415342837295,-0.678204684249747,-0.9099578683795545
sub-0039,-0.8512937821779456,-0.34986674005798024,-0.6851756444496199,0.11525437091162789,1.1881717869585688,-0.048917391607475436,-0.09112065938341873
sub-0040,-0.44526088096150845,0.09671134945715036,-0.5421666294906368,0.7565136686428354,0.9250764178921194,-0.20903701122757434,-0.2788612047424744
sub-0041,0.036800411425592504,0.10389351320314828,0.042587424368855174,0.20081940981297253,0.6809078189209025,-0.18710280059331907,-0.20661942777283235
sub-0043,-1.0088556464796723,-0.3055157662133381,-0.7539852142796802,-0.11524472085089377,-0.0999239454982858,1.119194537935207,1.333943359911179
sub-0044,1.4928744758010968,0.4791907594861768,1.1922887504833217,0.024284599399530704,0.4094696640279086,-1.1300343668830681,-1.2834112156796966
sub-0046,-0.7688992445349754,0.6445196601564314,-0.9383861280365322,0.6879533717483723,-0.10157900285355514,-0.5686951180157721,-0.32306425479101175
sub-0050,-0.04634382216752229,0.08982701296143751,-0.08211198160382233,0.15752123686373318,1.3569742852347018,0.7593094413140493,0.5603865181561892
sub-0051,-0.06167279077061364,-0.6719497225317497,0.05997244645470079,-0.2501117128516897,0.038353472120172295,0.3104794370375555,0.30388663025066437
sub-0052,0.6839494917319425,-0.05059139812859673,0.6495427510654769,-0.46648992840463815,0.13488711376157503,0.20915474302804404,0.1083661095944235
sub-0053,-0.7544975462690745,-0.32172206285811344,-0.48808804916261384,-0.16952990828577622,0.43731943584167093,-0.11316135223516556,-0.3250564897203003
sub-0055,-0.11442780723763057,-0.5485429560864028,0.036425894432341156,-0.6884843530719847,1.3271916267160497,0.26534146836170264,0.4197092269056528
sub-0056,-0.5456015044801354,2.256157987443935,-1.2233804086360547,2.293572428809752,-0.7612261465944696,0.5394694608609548,0.40605638570745234
sub-0057,-0.19538068667991645,-0.3651775535320801,0.01702249776454128,-0.21129021691267047,-0.3290105082397082,-0.13828610635185254,-0.17515603876287053
sub-0058,-0.052272261850997835,-0.6687843236503025,0.2170659826935877,-0.9082253337928695,-0.08214488816136979,-0.3338307334007588,-0.45595677953098096
