key,subject,run,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,surz_mean_H,surz_mean_D,surz_mean_lambda,surz_multilevel,surz_pivot_rate,surz_tree_span_events,surz_tree_span_time,tr,n_volumes,n_anchors,n_peaks
ds005256/sub-0001/ses-02/func/sub-0001_ses-02_task-faces_acq-mb8_run-02_bold.nii.gz,sub-0001,2,95,143,5.741258741258742,1.3977511450781996,1.1118881118881119,0.35810328010767334,5.629370629370629,1.4996634443012689,0.0979020979020979,0.2727272727272727,0.6923076923076923,2.230769230769231,3.1338028169014085,4.132922535211268,0.006993006993006993,1.5874125874125875,102.27912847010717,228.32836102844567,-0.8175912003615589,-0.807692860043501,-0.5064077797478025,0.17439938894092066,0.6483612039743314,1.481155733458487,1.522604057774436,0.46000000834465027,914,96,155
ds005256/sub-0002/ses-02/func/sub-0002_ses-02_task-faces_acq-mb8_run-02_bold.nii.gz,sub-0002,2,95,119,5.873949579831932,1.5269034902778578,1.0672268907563025,0.2831748707183467,5.80672268907563,1.606540186736543,0.058823529411764705,0.24369747899159663,0.6206896551724138,2.1724137931034484,2.213675213675214,3.533119658119658,0.01680672268907563,1.7058823529411764,97.34376919042656,223.75885782160054,0.3382021008521531,-1.371393879349976,0.7689963112389959,-0.9441495788596587,-0.7884025927474203,-2.9354537905034377,-2.935584915871709,0.46000000834465027,914,96,126
ds005256/sub-0003/ses-02/func/sub-0003_ses-02_task-faces_acq-mb8_run-02_bold.nii.gz,sub-0003,2,95,138,5.920289855072464,1.3832237507243224,1.1884057971014492,0.5609002752702704,5.731884057971015,1.5732241990955735,0.13768115942028986,0.2753623188405797,0.631578947368421,2.1578947368421053,2.664233576642336,3.653284671532847,0.007246376811594203,1.6594202898550725,104.29843679240064,229.757430672798,1.8435608201322689,2.230101631448835,0.44710142579168,2.087239007743477,0.6039520747333702,-0.8088399758273438,-0.7036727876786113,0.46000000834465027,914,96,149
ds005256/sub-0004/ses-02/func/sub-0004_ses-02_task-faces_acq-mb8_run-02_bold.nii.gz,sub-0004,2,95,147,5.931972789115647,1.4788919581605784,1.0952380952380953,0.2945470944816464,5.836734693877551,1.5617026900611575,0.09523809523809523,0.2653061224489796,0.6923076923076923,2.1794871794871793,2.8,3.56551724137931,0.013605442176870748,1.6802721088435375,97.70071681877351,225.03757429787194,1.6622756574755413,-1.3550326648204054,2.0257076473539115,0.1077563441612525,0.1294978493429975,0.06074193940368331,-0.08283713837699777,0.46000000834465027,914,96,158
ds005256/sub-0005/ses-02/func/sub-0005_ses-02_task-faces_acq-mb8_run-02_bold.nii.gz,sub-0005,2,95,142,5.823943661971831,1.3904399822794389,1.119718309859155,0.4373095430012476,5.704225352112676,1.5242192857741177,0.08450704225352113,0.2746478873239437,0.6410256410256411,2.1794871794871793,3.2411347517730498,4.243794326241135,0.007042253521126761,1.619718309859155,101.42577670459252,229.88817067188427,0.37474410544075815,-0.3315801273489692,0.48369962115844817,-0.583486519089346,1.0013269460092167,1.401747257102808,0.9439330823094592,0.46000000834465027,914,96,150
ds005256/sub-0006/ses-02/func/sub-0006_ses-02_task-faces_acq-mb8_run-02_bold.nii.gz,sub-0006,2,95,90,5.688888888888889,1.569687898875173,1.0777777777777777,0.47941391601768385,5.611111111111111,1.6739541054240905,0.03333333333333333,0.24444444444444444,0.5909090909090909,2.3636363636363638,3.272727272727273,6.8132102272727275,0.022222222222222223,1.5777777777777777,95.73660281466513,228.13449436753072,-1.0194801255048886,-0.3196147906648606,-0.6806749455789798,-0.9598646187531953,-1.1284727005773703,2.894804021683312,2.5618039244141437,0.46000000834465027,914,96,94
ds005256/sub-0007/ses-02/func/sub-0007_ses-02_task-faces_acq-mb8_run-02_bold.nii.gz,sub-0007,2,95,137,5.795620437956204,1.3992576084743424,1.1240875912408759,0.42780657178168313,5.671532846715328,1.5296553295504134,0.0948905109489051,0.27007299270072993,0.6216216216216216,2.054054054054054,2.786764705882353,3.8690257352941178,0.0072992700729927005,1.6204379562043796,95.1326329899657,228.9929316481966,-0.8235414213842198,-0.1198862563479661,-0.567191087166716,0.1976162796702221,0.4359020565271072,-0.0642703292122327,-0.07333899491236792,0.46000000834465027,914,96,144
ds005256/sub-0008/ses-02/func/sub-0008_ses-02_task-faces_acq-mb8_run-02_bold.nii.gz,sub-0008,2,95,138,5.992753623188406,1.482237295006911,1.0724637681159421,0.31128837897044603,5.920289855072464,1.5802688221968053,0.057971014492753624,0.2318840579710145,0.65625,2.34375,2.860294117647059,3.734375,0.014492753623188406,1.7826086956521738,95.26519437803506,226.16912679878027,2.690857967416026,-1.2949349138855006,2.876631089598106,-1.0879317609047974,-1.6765933556827912,0.48565546420397876,0.01039571561157882,0.46000000834465027,914,96,150
ds005256/sub-0009/ses-02/func/sub-0009_ses-02_task-faces_acq-mb8_run-02_bold.nii.gz,sub-0009,2,95,129,5.767441860465116,1.3492569014263043,1.124031007751938,0.5304442704290506,5.6434108527131785,1.4832315312161477,0.06976744186046512,0.2868217054263566,0.6216216216216216,1.864864864864865,3.265625,4.66796875,0.007751937984496124,1.6046511627906976,105.34760303978463,228.78243693405054,-0.9640325566815844,-0.2538290522755226,-0.772905563468907,-1.0588231262244159,1.0057491641606666,2.151331376559479,2.084755623098849,0.46000000834465027,914,96,140
ds005256/sub-0010/ses-02/func/sub-0010_ses-02_task-faces_acq-mb8_run-02_bold.nii.gz,sub-0010,2,95,147,5.795918367346939,1.344388517669335,1.1224489795918366,0.4666693291722176,5.673469387755102,1.4437549279100976,0.08843537414965986,0.272108843537415,0.7,2.25,2.8551724137931034,3.655603448275862,0.013605442176870748,1.6394557823129252,97.56442243570264,227.81744527839743,-0.5757150622218806,0.06928190491844138,-0.5290520000196308,0.034255847103508034,1.1315651000105047,0.40517126665749886,0.39680687579821494,0.46000000834465027,914,96,158
