contrast,feature,n_pairs,nofreeze_mean,freeze_mean,mean_difference,paired_p,dz,q_BH
freeze-minus-nofreeze,tree_root_fraction,8,0.003917754047977459,0.003939044215477265,2.1290167499806107e-05,0.020015738957196934,1.059739369131017,0.44500314805268293
freeze-minus-nofreeze,pivot_depth,8,2.104977791141332,1.9360535278510844,-0.16892426329024737,0.041191963722680344,-0.8827090325968698,0.44500314805268293
freeze-minus-nofreeze,NEGPEAK_mean_lambda,8,6.173828125,5.876953125,-0.296875,0.0629668680906512,-0.7807068179235657,0.44500314805268293
freeze-minus-nofreeze,NEGPEAK_mean_H,8,6.38671875,6.150390625,-0.236328125,0.068828140837244,-0.7593923853702784,0.44500314805268293
freeze-minus-nofreeze,NEGPEAK_mean_D,8,1.212890625,1.2734375,0.060546875,0.08240799038012646,0.7162691454422909,0.44500314805268293
freeze-minus-nofreeze,DOWN0_mean_H,8,6.421875,6.22265625,-0.19921875,0.12470279347637697,-0.6165518050236619,0.4821428992490749
freeze-minus-nofreeze,NEGPEAK_multilevel,8,0.181640625,0.236328125,0.0546875,0.12500001091642682,0.6159746575639796,0.4821428992490749
freeze-minus-nofreeze,compound_pivot_fraction,8,0.6323026663589859,0.5678279997068514,-0.06447466665213443,0.20523588784975114,-0.4937511627373836,0.6090493450430234
freeze-minus-nofreeze,sd_H,8,1.516705325288159,1.4716947204878565,-0.045010604800302556,0.228476047815552,-0.4665623542884238,0.6090493450430234
freeze-minus-nofreeze,mean_lambda,8,5.29638671875,5.1533203125,-0.14306640625,0.2533680955355136,-0.4399946434500155,0.6090493450430234
freeze-minus-nofreeze,sd_lambda,8,2.069715283733702,1.9944668749025292,-0.07524840883117304,0.2749988924728597,-0.41866025085728914,0.6090493450430234
freeze-minus-nofreeze,mean_H,8,6.2919921875,6.15380859375,-0.13818359375,0.28337653245635286,-0.41077475472743125,0.6090493450430234
freeze-minus-nofreeze,DOWN0_mean_lambda,8,5.767578125,5.603515625,-0.1640625,0.2932459809466409,-0.40172932328178595,0.6090493450430234
freeze-minus-nofreeze,tree_span_time,8,1.31014985504157,1.3236406282292232,0.013490773187653154,0.4150197350811916,0.3062898626263613,0.7839503919082069
freeze-minus-nofreeze,pivot_rate,8,0.16455078125,0.173828125,0.00927734375,0.43552799550455945,0.2923818475730959,0.7839503919082069
freeze-minus-nofreeze,multilevel,8,0.42626953125,0.43603515625,0.009765625,0.4856180676435945,0.2602392326386134,0.8194804891485657
freeze-minus-nofreeze,POSPEAK_mean_D,8,1.08203125,1.099609375,0.017578125,0.5595234323149622,0.21657798249511545,0.820406238031847
freeze-minus-nofreeze,POSPEAK_mean_lambda,8,6.228515625,6.1171875,-0.111328125,0.594360841550734,-0.19721277628465012,0.820406238031847
freeze-minus-nofreeze,DOWN0_mean_D,8,1.654296875,1.619140625,-0.03515625,0.6202507730189938,-0.18323246295570766,0.820406238031847
freeze-minus-nofreeze,POSPEAK_mean_H,8,6.310546875,6.216796875,-0.09375,0.6394208614519328,-0.17308149523936367,0.820406238031847
freeze-minus-nofreeze,DOWN0_multilevel,8,0.4609375,0.44140625,-0.01953125,0.6532061227711841,-0.1658786401874583,0.820406238031847
freeze-minus-nofreeze,mean_D,8,1.99560546875,2.00048828125,0.0048828125,0.7556821943924054,0.11441574845672788,0.820406238031847
freeze-minus-nofreeze,sd_D,8,1.4053848759587442,1.3933840521662484,-0.012000823792495813,0.7563643549069505,-0.11408340756361836,0.820406238031847
freeze-minus-nofreeze,tree_span_events,8,2.67207517051824,2.67722075984544,0.005145589327200051,0.7723082283639641,0.10634721722250479,0.820406238031847
freeze-minus-nofreeze,UP0_mean_H,8,6.048828125,6.025390625,-0.0234375,0.7900208218084452,-0.09781948310955323,0.820406238031847
freeze-minus-nofreeze,UP0_mean_D,8,4.033203125,4.009765625,-0.0234375,0.7900208218084452,-0.09781948310955323,0.820406238031847
freeze-minus-nofreeze,POSPEAK_multilevel,8,0.0625,0.06640625,0.00390625,0.8436054350779514,0.07238453535171606,0.8436054350779514
