feature,current_control,frozen_control,abs_diff_control,current_pd,frozen_pd,abs_diff_pd
mean_D,2.123046875,2.04,0.08304687499999996,1.9296875,1.883,0.04668749999999999
RHS_mean_D,2.040798611111111,1.713,0.3277986111111111,1.5177801724137931,1.343,0.17478017241379318
RHS_multilevel,0.4661458333333333,0.318,0.1481458333333333,0.25646551724137934,0.169,0.08746551724137933
mean_lambda,6.767795138888889,7.067,0.2992048611111109,7.166352370689655,7.341,0.1746476293103454
RHS_mean_lambda,6.910590277777778,7.82,0.9094097222222226,7.910560344827586,8.464,0.5534396551724141
tree_span_events,2.6344226579520695,1.261,1.3734226579520696,2.6846118626652395,1.312,1.3726118626652395
