feature,control_mean,pd_mean,difference_pd_minus_control,welch_p,hedges_g
multilevel,0.37890625,0.32421875,-0.0546875,3.179722635341946e-08,-1.8343855646050187
tree_span_time,1.2377604166666667,1.296902775670409,0.05914235900374232,2.4813375573519114e-07,1.6749426423671536
RHS_mean_D,2.040798611111111,1.5177801724137931,-0.523018438697318,3.2243647577804015e-07,-1.8076383803640466
mean_D,2.123046875,1.9296875,-0.193359375,4.616537980080102e-07,-2.0969225521912107
projection_error_ms_max,4.999999999999894,4.999999999999893,-8.881784197001252e-16,5.908101528298528e-07,-1.5131747762596686
RHS_multilevel,0.4661458333333333,0.25646551724137934,-0.20968031609195398,1.267421864020275e-06,-1.5801898815604423
projection_depth_mean,4.018518518518519,4.54992816091954,0.5314096424010213,4.267779625065124e-06,1.7689846120810575
mean_lambda,6.767795138888889,7.166352370689655,0.3985572318007655,4.267779625065197e-06,1.7689846120810562
RHS_mean_lambda,6.910590277777778,7.910560344827586,0.9999700670498086,7.91675242990346e-06,1.4534568929371976
tree_span_events,2.6344226579520695,2.6846118626652395,0.05018920471317001,3.929453533049877e-05,1.335872339070809
RHS_mean_H,7.951388888888889,8.428340517241379,0.4769516283524897,0.0005151498691088697,1.1036625210127162
LHS_mean_H,6.409722222222222,6.171875,-0.23784722222222232,0.0032753251427307,-1.2130073878724918
LHS_mean_D,4.394097222222222,4.15625,-0.23784722222222232,0.0032753251427307,-1.2130073878724918
mean_H,7.890842013888889,8.096039870689655,0.20519785680076552,0.004992579872368451,1.0491702679207409
RTO_mean_H,8.527777777777779,8.879849137931034,0.35207136015325524,0.010162554119185782,0.9113264430617133
RTO_mean_lambda,8.515625,8.864762931034482,0.3491379310344822,0.011477446084940904,0.8885086923998579
LTO_mean_H,8.674479166666666,8.904094827586206,0.22961566091954033,0.04189293002797994,0.7448050526066711
LTO_mean_lambda,8.629340277777779,8.874461206896552,0.24512092911877303,0.04390456021123362,0.7477136933522114
RTO_multilevel,0.004340277777777778,0.010775862068965518,0.00643558429118774,0.04968680599814759,0.5150754367102045
projection_error_ms_mean,2.3882717556423105,2.2963109509697786,-0.09196080467253198,0.06629205662027308,-0.595564056759341
tree_root_fraction,0.00390625,0.003906778228532792,5.282285327921563e-07,0.3258747068719035,0.231466358423942
LTO_multilevel,0.04513888888888889,0.029633620689655173,-0.015505268199233715,0.388247658304959,-0.29375128014837326
LTO_mean_D,1.0451388888888888,1.0296336206896552,-0.01550526819923359,0.388247658304963,-0.2937512801483708
pivot_rate,0.3161892361111111,0.3263739224137931,0.010184686302681989,0.4101332922689658,0.28534719614657567
compound_pivot_fraction,0.9209940110324211,0.9071435214304009,-0.013850489602020177,0.4199755468224822,-0.2670708428865996
RTO_mean_D,1.0121527777777777,1.0150862068965518,0.0029334291187741446,0.6821352934152642,0.11802497227534336
pivot_depth,3.2050292280627213,3.23912049386313,0.03409126580040889,0.7042054362420663,0.12637498032585456
n_cycles,64.0,64.0,0.0,,
n_events,256.0,256.0,0.0,,
LHS_mean_lambda,3.015625,3.015625,0.0,,
LHS_multilevel,1.0,1.0,0.0,,
