feature,contrast,n0,n1,old_mean,pd_mean,diff,hedges_g,exact_permutation_p,q_BH
cv_stride,pd-vs-old,5,5,0.025487114942394546,0.06660636941266766,0.04111925447027312,1.816466443281177,0.015873015873015872,0.03968253968253968
sd_stride,pd-vs-old,5,5,0.0266281293079486,0.07835859230419813,0.05173046299624953,1.6018773233999954,0.023809523809523808,0.03968253968253968
rmssd_stride,pd-vs-old,5,5,0.03137485451069472,0.10023579442011292,0.06886093990941819,1.7186376320431138,0.023809523809523808,0.03968253968253968
mean_stride,pd-vs-old,5,5,1.027642170400176,1.1555124672641028,0.12787029686392692,0.8949415567142135,0.15079365079365079,0.1884920634920635
lag1_stride,pd-vs-old,5,5,0.2949269656200713,0.1546113218959741,-0.14031564372409722,-0.5531737890752889,0.38095238095238093,0.38095238095238093
