feature,contrast,n0,n1,old_mean,pd_mean,diff,hedges_g,exact_permutation_p,q_BH
compound_pivot_fraction,pd-vs-old,5,5,0.736219052202997,0.6661420171867933,-0.07007703501620366,-1.4189443550522056,0.031746031746031744,0.12037037037037036
mean_H,pd-vs-old,5,5,11.583117157335908,10.452618418581647,-1.1304987387542607,-1.3965774414284,0.03968253968253968,0.12037037037037036
mean_lambda,pd-vs-old,5,5,11.579229005791506,10.451052854856158,-1.1281761509353476,-1.3980977594406545,0.03968253968253968,0.12037037037037036
sd_D,pd-vs-old,5,5,0.23008991330913314,0.339993694459491,0.10990378115035787,1.4686513934589722,0.03968253968253968,0.12037037037037036
sd_lambda,pd-vs-old,5,5,3.2257237467044697,4.444946649611173,1.219222902906703,1.379208610439819,0.05555555555555555,0.12037037037037036
sd_H,pd-vs-old,5,5,3.213454189763776,4.442681856751009,1.2292276669872333,1.3741471248401387,0.05555555555555555,0.12037037037037036
mean_D,pd-vs-old,5,5,0.9477286438223939,0.8619580556647671,-0.08577058815762673,-1.2761400206047517,0.07142857142857142,0.12896825396825395
pivot_depth,pd-vs-old,5,5,2.8092031786414156,2.6708492297868944,-0.13835394885452112,-1.1626133648802124,0.07936507936507936,0.12896825396825395
tree_span_time,pd-vs-old,5,5,1.700075011519612,1.881869963956407,0.181794952436795,0.8083241846139975,0.20634920634920634,0.2980599647266314
pivot_rate,pd-vs-old,5,5,0.2329784025096525,0.24030499021077684,0.0073265877011243485,0.35044631529551423,0.5555555555555556,0.7222222222222222
multilevel,pd-vs-old,5,5,0.0031069015444015443,0.001565563725490196,-0.0015413378189113483,-0.4132730694388072,0.6825396825396826,0.8066378066378067
tree_root_fraction,pd-vs-old,5,5,0.016635460399150207,0.01727596290125337,0.0006405025021031623,0.10218899484934395,0.9047619047619048,0.9126984126984128
tree_span_events,pd-vs-old,5,5,3.243758680897636,3.2227663704601026,-0.02099231043753358,-0.05892537664535597,0.9126984126984127,0.9126984126984128
