feature,n,mean_z,t,p,positive_fraction,q_BH
surz_mean_D,10,-0.45480625280129316,-2.3630291346577192,0.042390444169314416,0.3,0.28376295309910954
surz_multilevel,10,-0.5259152746604673,-1.9643525867130995,0.08107512945688844,0.3,0.28376295309910954
surz_mean_lambda,10,0.5327289562340166,1.6886262903695457,0.12555891355452176,0.7,0.2929707982938841
surz_mean_H,10,0.48852363630853707,1.4678618620157944,0.1762003199470043,0.7,0.3083505599072575
surz_tree_span_time,10,-0.3192138128722619,-1.1595617480452205,0.2760647569231913,0.3,0.3864906596924679
surz_pivot_rate,10,0.18486294569259046,0.5149291161797418,0.6190096041830273,0.4,0.7221778715468652
surz_tree_span_events,10,-0.06104060230935484,-0.20632328043152562,0.8411303351597736,0.5,0.8411303351597736
