feature,n,mean_z,t,p,positive_fraction,q_BH
surz_pivot_rate,16,-0.14423532624995056,-0.9457565774540838,0.3592596894152662,0.5,0.9691128932297627
surz_tree_span_events,16,-0.1356207581831131,-0.9317219407891416,0.36623502339166125,0.5,0.9691128932297627
surz_tree_span_time,16,-0.1532948651490254,-0.6598473581913575,0.5193557222997377,0.4375,0.9691128932297627
surz_mean_H,16,0.13215155945754992,0.5155315105719035,0.6136958734573125,0.4375,0.9691128932297627
surz_mean_D,16,0.07057450372924996,0.32033934878495635,0.7531301455609304,0.375,0.9691128932297627
surz_multilevel,16,0.03182802429389585,0.1530815810001491,0.8803742535951401,0.5,0.9691128932297627
surz_mean_lambda,16,0.00809593925462962,0.03937220560131371,0.9691128932297627,0.5,0.9691128932297627
