contrast,feature,n0,n1,Control_mean,PD_mean,diff,welch_p,hedges_g,q_BH
PD-vs-Control,mean_H,25,21,4.287228387727939,4.244926236712478,-0.04230215101546175,0.11943769457100864,-0.4549809161210641,0.8997894405984089
PD-vs-Control,mean_lambda,25,21,3.869530794418558,3.823487508217287,-0.04604328620127118,0.15807620661891172,-0.40610321358748896,0.8997894405984089
PD-vs-Control,tree_span_time,25,21,3.7794203266288138,3.8998699785705604,0.12044965194174662,0.18079463897402467,0.3923024291860226,0.8997894405984089
PD-vs-Control,sd_lambda,25,21,1.5426176089093429,1.5201168263200184,-0.02250078258932442,0.2148917619206391,-0.3574936618355932,0.8997894405984089
PD-vs-Control,pivot_rate,25,21,0.19184676941053552,0.19557269556387813,0.003725926153342607,0.44076858920646356,0.22833661865426744,0.8997894405984089
PD-vs-Control,surz_mean_H,25,21,0.06531558993113983,-0.02535991907017858,-0.0906755090013184,0.4634899832429397,-0.21272137831556734,0.8997894405984089
PD-vs-Control,sd_H,25,21,1.3257690234535355,1.3104573052675392,-0.015311718185996304,0.46792496509039927,-0.2045094284093302,0.8997894405984089
PD-vs-Control,surz_pivot_rate,25,21,0.035657556132549034,0.1357975105190652,0.10013995438651616,0.48429528202084665,0.20135661289183263,0.8997894405984089
PD-vs-Control,surz_mean_lambda,25,21,0.16686935120787438,0.06943775973583932,-0.09743159147203506,0.5076560916121376,-0.19332307600147916,0.8997894405984089
PD-vs-Control,compound_pivot_fraction,25,21,0.5177805194805195,0.5032788199454866,-0.014501699535032886,0.5291368404199155,-0.18251385084405466,0.8997894405984089
PD-vs-Control,sd_D,25,21,0.7909024774534608,0.8074638285000191,0.016561351046558315,0.5532075430624278,0.17421153000150613,0.8997894405984089
PD-vs-Control,pivot_depth,25,21,1.7770898989898989,1.7533356810737761,-0.023754217916122755,0.5704481240389319,-0.16607087293054867,0.8997894405984089
PD-vs-Control,surz_mean_D,25,21,-0.16023510901850588,-0.06723685688064508,0.0929982521378608,0.5848631363889658,0.16107552104505568,0.8997894405984089
PD-vs-Control,tree_span_events,25,21,2.2835580506150865,2.3013673476097005,0.017809296994613977,0.6791649140142217,0.11913192356335728,0.9423740595453647
PD-vs-Control,surz_tree_span_time,25,21,0.018838123886437505,-0.030499015374138308,-0.04933713926057581,0.7583709469550817,-0.0911560303203202,0.9423740595453647
PD-vs-Control,mean_D,25,21,1.4176975933093805,1.4214387284951915,0.0037411351858109843,0.8297939076762126,0.06312193067091593,0.9423740595453647
PD-vs-Control,surz_tree_span_events,25,21,0.18081542057848585,0.14885896033503637,-0.031956460243449475,0.8423483696279205,-0.05865624746665809,0.9423740595453647
PD-vs-Control,multilevel,25,21,0.2918446724082523,0.2899704866440607,-0.0018741857641915716,0.8481366535908282,-0.056415345591166066,0.9423740595453647
PD-vs-Control,surz_multilevel,25,21,-0.10136424603613563,-0.1190290081466117,-0.017664762110476073,0.9171621223465589,-0.031082346893180235,0.9654338129963778
PD-vs-Control,tree_root_fraction,25,21,0.04462824100742825,0.04470764055061412,7.939954318586517e-05,0.9719666091640455,0.010535453110970608,0.9719666091640455
