contrast,feature,n0,n1,Control_mean,PD_mean,diff,welch_p,hedges_g,q_BH
PD-vs-Control,tree_span_events,25,21,2.2427954469632936,2.3492506763785737,0.10645522941528007,0.027169202396464566,0.6800221245561333,0.33917004727996414
PD-vs-Control,tree_span_time,25,21,3.7314761404307872,3.939553968440601,0.2080778280098139,0.04237345757982238,0.5897721416628061,0.33917004727996414
PD-vs-Control,surz_tree_span_events,25,21,0.12870616859074338,0.43367729202787414,0.30497112343713073,0.05087550709199462,0.6088217340519003,0.33917004727996414
PD-vs-Control,surz_multilevel,25,21,-0.13332250730983794,-0.36004319790951494,-0.226720690599677,0.138069660184932,-0.44302686414697307,0.69034830092466
PD-vs-Control,surz_tree_span_time,25,21,0.04253624803868564,0.23401129381885172,0.19147504578016608,0.22801476270479126,0.36926518907763534,0.7910962238778195
PD-vs-Control,mean_H,25,21,4.263082614536316,4.23421164512648,-0.028870969409835467,0.23732886716334586,-0.35152936998191053,0.7910962238778195
PD-vs-Control,pivot_depth,25,21,1.7691297905797903,1.8057258239996334,0.03659603341984319,0.3046502161000142,0.2969799831285334,0.7911989554953721
PD-vs-Control,surz_mean_D,25,21,-0.11147417210345566,-0.263138526204263,-0.1516643541008073,0.3187274250949553,-0.29240507988700576,0.7911989554953721
PD-vs-Control,surz_mean_lambda,25,21,-8.92771402291992e-06,0.13297054120554355,0.13297946891956647,0.3860902646118002,0.2547992715504333,0.7911989554953721
PD-vs-Control,multilevel,25,21,0.28587036583380154,0.27847827012913173,-0.00739209570466981,0.43802541629762687,-0.22936215816702119,0.7911989554953721
PD-vs-Control,sd_lambda,25,21,1.5226719214326665,1.505854354070441,-0.016817567362225505,0.4471119122595777,-0.22298805464471785,0.7911989554953721
PD-vs-Control,mean_D,25,21,1.416310085127717,1.405360827754327,-0.010949257373390031,0.5084173565379664,-0.19345347033651036,0.7911989554953721
PD-vs-Control,mean_lambda,25,21,3.8467725294085984,3.8288508173721527,-0.01792171203644566,0.5211631157102563,-0.18814465761695928,0.7911989554953721
PD-vs-Control,compound_pivot_fraction,25,21,0.5112610482110482,0.5231953606358368,0.011934312424788596,0.5538392688467605,0.17628317240394317,0.7911989554953721
PD-vs-Control,sd_D,25,21,0.7977650674071524,0.78675520064274,-0.011009866764412402,0.6685282727912873,-0.12430312779131711,0.7983127560484957
PD-vs-Control,surz_pivot_rate,25,21,0.08561930992338385,0.017950333139278313,-0.06766897678410554,0.6861730600598871,-0.12115097654458147,0.7983127560484957
PD-vs-Control,pivot_rate,25,21,0.1924355573377381,0.1903568559594795,-0.0020787013782586072,0.7161836084381493,-0.10873609767470913,0.7983127560484957
PD-vs-Control,surz_mean_H,25,21,-0.1129734505379058,-0.058412985858332475,0.05456046467957333,0.7184814804436461,0.10428985987480927,0.7983127560484957
PD-vs-Control,tree_root_fraction,25,21,0.04358496622465841,0.044140622895982355,0.0005556566713239425,0.8170722498500226,0.06904966266515383,0.860076052473708
PD-vs-Control,sd_H,25,21,1.3097422759417392,1.312760245579693,0.0030179696379537546,0.9006859477465172,0.036624774401049415,0.9006859477465172
