condition,group,n,age_mean,age_sd,male_n,female_n
rest,HC,28,60.82142857142857,7.473675140506183,13,15
rest,PD,116,66.12931034482759,9.39614182839799,72,44
walk,HC,23,62.04347826086956,6.455992711987305,10,13
walk,PD,110,66.17272727272727,9.227858788193808,71,39
