participant_id,condition,frontend,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,tree_ascending_fraction,occ_L1,occ_L2,occ_L3,occ_L4,occ_L5,occ_L6,occ_L7,occ_L8,occ_L9,occ_L10,occ_L11,occ_L12
sub-001,rest,theta_global,9.208333333333334,1.2503622663458176,1.0,0.0,9.208333333333334,1.2503622663458176,0.0,0.25,0.8333333333333334,2.3333333333333335,1.8095238095238095,0.6088169642857143,0.125,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.125,0.16666666666666666,0.5416666666666666,0.041666666666666664,0.0
sub-001,rest,alpha_global,8.583333333333334,1.5580552724098262,1.0,0.0,8.583333333333334,1.5580552724098262,0.0,0.20833333333333334,0.8,2.8,1.9,0.648828125,0.16666666666666666,0.65,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.2916666666666667,0.20833333333333334,0.08333333333333333,0.0
sub-001,rest,beta_global,9.25,1.1887150534341144,1.0,0.0,9.25,1.1887150534341144,0.0,0.16666666666666666,0.75,1.75,1.608695652173913,0.5511209239130435,0.041666666666666664,0.391304347826087,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.25,0.16666666666666666,0.4583333333333333,0.08333333333333333,0.0
sub-001,rest,mu_central,9.083333333333334,1.501207243656184,1.0,0.0,9.083333333333334,1.501207243656184,0.0,0.2916666666666667,0.8571428571428571,2.7142857142857144,2.6363636363636362,0.9007457386363636,0.08333333333333333,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.125,0.25,0.2916666666666667,0.16666666666666666,0.0
sub-001,rest,beta_central,8.958333333333334,1.545798419465872,1.0,0.0,8.958333333333334,1.545798419465872,0.0,0.25,0.6666666666666666,2.5,2.227272727272727,0.7679332386363636,0.08333333333333333,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.16666666666666666,0.125,0.375,0.125,0.0
sub-002,rest,theta_global,9.25,1.5393392145304765,1.0,0.0,9.25,1.5393392145304765,0.0,0.20833333333333334,0.6,2.6,1.2857142857142858,0.43396577380952384,0.125,0.47619047619047616,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.375,0.25,0.20833333333333334,0.0
sub-002,rest,alpha_global,8.916666666666666,1.3486439781165913,1.0,0.0,8.916666666666666,1.3486439781165913,0.0,0.16666666666666666,1.0,2.5,1.85,0.5958984375,0.16666666666666666,0.4,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.20833333333333334,0.20833333333333334,0.3333333333333333,0.08333333333333333,0.0
sub-002,rest,beta_global,9.25,1.5393392145304765,1.0416666666666667,0.2041241452319315,9.208333333333334,1.6675722177612804,0.041666666666666664,0.25,0.6666666666666666,2.5,1.5714285714285714,0.5241815476190477,0.125,0.47619047619047616,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.16666666666666666,0.25,0.2916666666666667,0.20833333333333334,0.0
sub-002,rest,mu_central,9.333333333333334,1.1671841502435296,1.0,0.0,9.333333333333334,1.1671841502435296,0.0,0.25,0.5,1.8333333333333333,1.6666666666666667,0.5991443452380952,0.125,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.3333333333333333,0.2916666666666667,0.16666666666666666,0.0
sub-002,rest,beta_central,9.541666666666666,1.1025333147551268,1.0,0.0,9.541666666666666,1.1025333147551268,0.0,0.16666666666666666,0.75,2.0,1.6666666666666667,0.5442708333333334,0.125,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.2916666666666667,0.3333333333333333,0.20833333333333334,0.0
