contrast,feature,n0,n1,healthy_mean,pd_mean,diff,welch_p,hedges_g,q_BH
pd-vs-healthy,tree_root_fraction,79,291,0.09177215189873418,0.09787277752876139,0.006100625630027209,0.05688276309186383,0.2515933849180873,0.7394759201942298
pd-vs-healthy,pivot_rate,79,291,0.23127637130801687,0.23632588774341354,0.005049516435396667,0.31402815741393403,0.13379102658045894,0.996810545829201
pd-vs-healthy,mean_H,79,291,9.52795358649789,9.539447308132877,0.011493721634986187,0.650540365831586,0.06081531409257053,0.996810545829201
pd-vs-healthy,mean_lambda,79,291,9.515559071729957,9.526417525773196,0.010858454043239263,0.6772691548187099,0.05559349800504953,0.996810545829201
pd-vs-healthy,sd_H,79,291,1.5535650750480352,1.544415731970503,-0.009149343077532235,0.6862957827689186,-0.046703441577740715,0.996810545829201
pd-vs-healthy,sd_D,79,291,0.05615607438077618,0.060631531940989615,0.004475457560213433,0.7023654633562982,0.04735533093403279,0.996810545829201
pd-vs-healthy,tree_span_time,79,291,1.227135521738684,1.2345672486107147,0.007431726872030753,0.7226423603936426,0.04394545717631225,0.996810545829201
pd-vs-healthy,compound_pivot_fraction,79,291,0.6617766726943942,0.6673791796214478,0.005602506927053552,0.765630591892138,0.03851131847510043,0.996810545829201
pd-vs-healthy,sd_lambda,79,291,1.5845185811607303,1.5780032100679435,-0.00651537109278677,0.795073544923241,-0.030008120489795616,0.996810545829201
pd-vs-healthy,mean_D,79,291,1.0123945147679323,1.012958190148912,0.000563675380979678,0.8295847558530877,0.026731748548083,0.996810545829201
pd-vs-healthy,pivot_depth,79,291,2.371511452682339,2.368325560464736,-0.0031858922176031257,0.9479232324336513,-0.007792174081202639,0.996810545829201
pd-vs-healthy,multilevel,79,291,0.00870253164556962,0.008662657502863687,-3.987414270593265e-05,0.9813542115557022,-0.003075919059194148,0.996810545829201
pd-vs-healthy,tree_span_events,79,291,1.8460189003804848,1.8461344980559873,0.0001155976755025101,0.996810545829201,0.0005127635917895639,0.996810545829201
