contrast,feature,n0,n1,other_mean,pd_mean,diff,welch_p,hedges_g,q_BH
pd-vs-other,mean_lambda,99,291,9.491372053872054,9.526417525773196,0.03504547190114238,0.10916990096119603,0.18439775545012196,0.8207357244485827
pd-vs-other,mean_H,99,291,9.507365319865318,9.539447308132877,0.03208198826755826,0.1262670345305512,0.1751867238848822,0.8207357244485827
pd-vs-other,mean_D,99,291,1.015993265993266,1.012958190148912,-0.0030350758443540293,0.29985224215969314,-0.13411189158324402,0.8531810075915222
pd-vs-other,sd_D,99,291,0.07188301650059674,0.060631531940989615,-0.011251484559607124,0.3781198326583963,-0.11210090080819163,0.8531810075915222
pd-vs-other,sd_lambda,99,291,1.6014088449067825,1.5780032100679435,-0.02340563483883895,0.3891296043524642,-0.10305941062571351,0.8531810075915222
pd-vs-other,multilevel,99,291,0.0101010101010101,0.008662657502863687,-0.001438352598146413,0.3937758496576256,-0.10750226911409011,0.8531810075915222
pd-vs-other,sd_H,99,291,1.5602209593344936,1.544415731970503,-0.015805227363990593,0.5246661705197229,-0.07676435504411612,0.956559410353914
pd-vs-other,compound_pivot_fraction,99,291,0.6607122815456148,0.6673791796214478,0.006666898075832983,0.6711132305341209,0.0471703324133636,0.956559410353914
pd-vs-other,tree_span_events,99,291,1.8402699291247242,1.8461344980559873,0.005864568931263081,0.8146601258665614,0.026493437161181757,0.956559410353914
pd-vs-other,pivot_depth,99,291,2.3796436588103256,2.368325560464736,-0.011318098345589611,0.8214923548650397,-0.026809702962841804,0.956559410353914
pd-vs-other,tree_span_time,99,291,1.231075625120747,1.2345672486107147,0.0034916234899675658,0.8415883358145727,0.021293070329514035,0.956559410353914
pd-vs-other,tree_root_fraction,99,291,0.09827441077441075,0.09787277752876139,-0.0004016332456493604,0.8829779172497668,-0.01689015211191052,0.956559410353914
pd-vs-other,pivot_rate,99,291,0.23611111111111108,0.23632588774341354,0.00021477663230246025,0.9606933709379561,0.005770451773866664,0.9606933709379561
