subject,condition,modality,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,tree_ascending_fraction,occ_L1,occ_L2,occ_L3,occ_L4,occ_L5,occ_L6,occ_L7,occ_L8,occ_L9,occ_L10,occ_L11,occ_L12
S18,baseline,gait,9.041666666666666,1.5736738147920994,1.0833333333333333,0.408248290463863,8.958333333333334,1.8292114401439827,0.041666666666666664,0.2916666666666667,0.5714285714285714,2.142857142857143,1.5714285714285714,0.5522693452380952,0.125,0.6666666666666666,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.125,0.2916666666666667,0.3333333333333333,0.125,0.0
S18,baseline,eeg,8.666666666666666,1.9927404479142845,1.0,0.0,8.666666666666666,1.9927404479142845,0.0,0.20833333333333334,0.6,2.8,2.090909090909091,0.6716974431818182,0.08333333333333333,0.5909090909090909,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.25,0.20833333333333334,0.16666666666666666,0.0
S18,early_abrupt,gait,9.166666666666666,1.2740441145412122,1.0,0.0,9.166666666666666,1.2740441145412122,0.0,0.25,0.6666666666666666,2.0,1.5714285714285714,0.5241815476190477,0.125,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2916666666666667,0.16666666666666666,0.2916666666666667,0.16666666666666666,0.0
S18,early_abrupt,eeg,8.833333333333334,1.857222485950146,1.0,0.0,8.833333333333334,1.857222485950146,0.0,0.2916666666666667,0.5714285714285714,2.4285714285714284,1.95,0.6189453125,0.16666666666666666,0.65,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.08333333333333333,0.3333333333333333,0.2916666666666667,0.125,0.0
S18,late_abrupt,gait,8.75,1.6484511834894675,1.0,0.0,8.75,1.6484511834894675,0.0,0.25,0.8333333333333334,2.0,2.0454545454545454,0.703125,0.08333333333333333,0.6363636363636364,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2916666666666667,0.125,0.0
S18,late_abrupt,eeg,9.083333333333334,1.1764599317505433,1.0,0.0,9.083333333333334,1.1764599317505433,0.0,0.2916666666666667,0.42857142857142855,1.7142857142857142,2.0454545454545454,0.697265625,0.08333333333333333,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,0.2916666666666667,0.3333333333333333,0.08333333333333333,0.0
S18,early_gradual,gait,9.25,1.4521348601882378,1.0833333333333333,0.408248290463863,9.166666666666666,1.7362294645648624,0.041666666666666664,0.20833333333333334,0.6,2.2,1.4285714285714286,0.4856770833333333,0.125,0.47619047619047616,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.3333333333333333,0.16666666666666666,0.0
S18,early_gradual,eeg,9.375,1.2445533509971602,1.0,0.0,9.375,1.2445533509971602,0.0,0.16666666666666666,0.75,2.0,1.6363636363636365,0.5639204545454546,0.08333333333333333,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.08333333333333333,0.25,0.375,0.16666666666666666,0.0
S18,late_gradual,gait,9.416666666666666,1.0598058340078627,1.0,0.0,9.416666666666666,1.0598058340078627,0.0,0.25,0.5,1.5,1.7272727272727273,0.58203125,0.08333333333333333,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.375,0.2916666666666667,0.16666666666666666,0.0
S18,late_gradual,eeg,9.416666666666666,1.0598058340078627,1.0,0.0,9.416666666666666,1.0598058340078627,0.0,0.20833333333333334,0.6,1.8,2.0952380952380953,0.6666666666666666,0.125,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.25,0.5,0.08333333333333333,0.0
S19,baseline,gait,9.125,1.5126280039259057,1.0833333333333333,0.408248290463863,9.041666666666666,1.7810394294555534,0.041666666666666664,0.25,0.5,2.0,1.35,0.432421875,0.16666666666666666,0.4,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.125,0.041666666666666664,0.4166666666666667,0.16666666666666666,0.20833333333333334,0.0
S19,baseline,eeg,9.083333333333334,1.316010660280157,1.0,0.0,9.083333333333334,1.316010660280157,0.0,0.25,0.3333333333333333,1.6666666666666667,2.4545454545454546,0.7776988636363636,0.08333333333333333,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.2916666666666667,0.2916666666666667,0.125,0.0
S19,early_abrupt,gait,9.041666666666666,1.458980187804412,1.0,0.0,9.041666666666666,1.458980187804412,0.0,0.2916666666666667,0.5714285714285714,2.142857142857143,1.7272727272727273,0.5642755681818182,0.08333333333333333,0.5454545454545454,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.0
S19,early_abrupt,eeg,9.333333333333334,1.2740441145412122,1.0,0.0,9.333333333333334,1.2740441145412122,0.0,0.3333333333333333,0.375,1.625,1.6363636363636365,0.5340909090909091,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.125,0.3333333333333333,0.375,0.125,0.0
S19,late_abrupt,gait,9.333333333333334,1.4345630047135447,1.0,0.0,9.333333333333334,1.4345630047135447,0.0,0.20833333333333334,0.6,2.2,2.0,0.6815476190476191,0.125,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.20833333333333334,0.5,0.125,0.0
S19,late_abrupt,eeg,9.166666666666666,1.5788456616111677,1.0,0.0,9.166666666666666,1.5788456616111677,0.0,0.25,0.5,2.3333333333333335,1.8095238095238095,0.5719866071428571,0.125,0.5238095238095238,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.125,0.2916666666666667,0.375,0.125,0.0
S19,early_gradual,gait,9.125,1.2618998788920721,1.0833333333333333,0.408248290463863,9.041666666666666,1.5736738147920994,0.041666666666666664,0.25,0.5,1.8333333333333333,1.4,0.4595703125,0.16666666666666666,0.4,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.4583333333333333,0.2916666666666667,0.08333333333333333,0.0
S19,early_gradual,eeg,9.25,1.3269776053940743,1.0,0.0,9.25,1.3269776053940743,0.0,0.3333333333333333,0.625,1.875,2.0,0.6981534090909091,0.08333333333333333,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.20833333333333334,0.3333333333333333,0.16666666666666666,0.0
S19,late_gradual,gait,9.166666666666666,1.5788456616111677,1.0416666666666667,0.2041241452319315,9.125,1.701980943029264,0.041666666666666664,0.20833333333333334,0.6,1.8,1.3636363636363635,0.45454545454545453,0.08333333333333333,0.4090909090909091,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.25,0.08333333333333333,0.3333333333333333,0.20833333333333334,0.0
S19,late_gradual,eeg,9.083333333333334,1.6129008882638507,1.0,0.0,9.083333333333334,1.6129008882638507,0.0,0.20833333333333334,1.0,3.0,2.1363636363636362,0.6766690340909091,0.08333333333333333,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.125,0.041666666666666664,0.125,0.25,0.25,0.20833333333333334,0.0
S20,baseline,gait,8.875,1.701980943029264,1.1666666666666667,0.5646597025732799,8.708333333333334,2.1362129568705104,0.08333333333333333,0.25,0.5,2.6666666666666665,1.55,0.5072265625,0.16666666666666666,0.5,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.0,0.20833333333333334,0.2916666666666667,0.20833333333333334,0.16666666666666666,0.0
S20,baseline,eeg,9.5,1.06321906614239,1.0,0.0,9.5,1.06321906614239,0.0,0.16666666666666666,0.25,1.25,1.4761904761904763,0.48995535714285715,0.125,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.4166666666666667,0.25,0.20833333333333334,0.0
S20,early_abrupt,gait,9.166666666666666,1.3726099121798927,1.0,0.0,9.166666666666666,1.3726099121798927,0.0,0.20833333333333334,0.8,2.6,2.3636363636363638,0.7906605113636364,0.08333333333333333,0.4090909090909091,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.4166666666666667,0.08333333333333333,0.0
S20,early_abrupt,eeg,8.916666666666666,1.717345440591042,1.0416666666666667,0.2041241452319315,8.875,1.8252456654188867,0.041666666666666664,0.25,0.6666666666666666,2.8333333333333335,1.5238095238095237,0.5128348214285714,0.125,0.5238095238095238,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.125,0.041666666666666664,0.20833333333333334,0.375,0.125,0.0
S20,late_abrupt,gait,8.958333333333334,1.545798419465872,1.0,0.0,8.958333333333334,1.545798419465872,0.0,0.20833333333333334,0.8,2.8,1.8636363636363635,0.6067116477272727,0.08333333333333333,0.5454545454545454,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.2916666666666667,0.20833333333333334,0.16666666666666666,0.0
S20,late_abrupt,eeg,9.541666666666666,1.2150922908825974,1.0,0.0,9.541666666666666,1.2150922908825974,0.0,0.25,0.16666666666666666,1.3333333333333333,1.5238095238095237,0.5591517857142857,0.125,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.25,0.4583333333333333,0.16666666666666666,0.0
