contrast,feature,n_pairs,ref_mean,rof_mean,mean_difference,paired_t_p,wilcoxon_p,dz,q_BH,ren_mean,ron_mean
ref-minus-rof,mean_H,12,6.026692708333333,6.126302083333333,-0.099609375,0.2074942050975642,0.43505859375,-0.38661788273235426,0.8379729020307268,,
ref-minus-rof,mean_D,12,1.9638671875,1.9694010416666667,-0.005533854166666667,0.5705526954199606,0.640625,-0.16878603729677935,0.8379729020307268,,
ref-minus-rof,mean_lambda,12,5.062825520833333,5.156901041666667,-0.09407552083333333,0.24127333447636928,0.45751953125,-0.3575536962177531,0.8379729020307268,,
ref-minus-rof,multilevel,12,0.4371744791666667,0.4332682291666667,0.00390625,0.6249747131606476,0.7138671875,0.14516472345189757,0.8379729020307268,,
ref-minus-rof,pivot_rate,12,0.17936197916666666,0.19563802083333334,-0.016276041666666668,0.29112971040917157,0.3203125,-0.32011128304087955,0.8379729020307268,,
ref-minus-rof,compound_pivot_fraction,12,0.5597718157940036,0.5839689754982081,-0.024197159704204687,0.4029644697069268,0.5185546875,-0.25110422836042795,0.8379729020307268,,
ref-minus-rof,pivot_depth,12,1.9208592333724193,1.9368766892111682,-0.016017455838749046,0.7084744213491597,0.791015625,-0.11078030185249037,0.843421930177571,,
ref-minus-rof,tree_span_events,12,2.638137512222737,2.6331694413576128,0.00496807086512463,0.8407289661464731,0.7646484375,0.05940079702666336,0.8953328070345146,,
ref-minus-rof,tree_span_time,12,1.2962929725696055,1.2994182281104945,-0.003125255540889308,0.859519494753134,0.9697265625,-0.05230291273521688,0.8953328070345146,,
ref-minus-rof,tree_root_fraction,12,0.00391390931372549,0.003915205969198703,-1.2966554732129116e-06,0.6703545594492425,0.4375,-0.1262379038730419,0.8379729020307268,,
ref-minus-rof,UP0_mean_H,12,5.845052083333333,5.895833333333333,-0.05078125,0.32442747567439795,0.3095703125,-0.2977848639944513,0.8379729020307268,,
ref-minus-rof,UP0_mean_D,12,3.8294270833333335,3.8802083333333335,-0.05078125,0.32442747567439795,0.3095703125,-0.2977848639944513,0.8379729020307268,,
ref-minus-rof,UP0_multilevel,12,1.0,1.0,0.0,1.0,1.0,,1.0,,
ref-minus-rof,POSPEAK_mean_H,12,6.067708333333333,6.26953125,-0.20182291666666666,0.06924478972548602,0.083984375,-0.5810992969116363,0.8379729020307268,,
