contrast,feature,n_pairs,ref_mean,rof_mean,mean_difference,paired_t_p,wilcoxon_p,dz,ren_mean,ron_mean
ref-minus-rof,rms_mm_s,12,7.409293053224598,67.251421526684,-59.842128473459404,0.08581543123137199,0.12939453125,-0.5447317884331561,,
ref-minus-rof,dominant_freq_hz,12,5.908203125,5.509440104166667,0.3987630208333333,0.48700945087015773,0.92724609375,0.2076183078897982,,
ref-minus-rof,spectral_entropy_2_12,12,0.8380076303039218,0.7698235983276276,0.06818403197629422,0.10148356812516851,0.12939453125,0.5158762327720505,,
ref-minus-rof,cycle_period_mean,12,0.16647135416666667,0.1783723958333333,-0.011901041666666655,0.2314817092403916,0.38037109375,-0.36561872015772,,
ref-minus-rof,cycle_period_cv,12,0.23311323515937962,0.18717724652809045,0.045935988631289115,0.1443203857817894,0.17626953125,0.4537115919090382,,
ren-minus-ron,rms_mm_s,13,,,-1.411772888994573,0.241326897859108,0.339599609375,-0.3418630218109107,4.617343838392357,6.029116727386931
ren-minus-ron,dominant_freq_hz,13,,,0.9390024038461539,0.34455774839259284,0.313720703125,0.27290202205685926,5.671574519230769,4.732572115384615
ren-minus-ron,spectral_entropy_2_12,13,,,0.012218459821912156,0.4104001552125951,0.684814453125,0.23655996699995363,0.9477299394190121,0.9355114795971
ren-minus-ron,cycle_period_mean,13,,,-0.0049639423076923,0.495029013022462,0.684814453125,-0.1951800636306278,0.15798076923076926,0.16294471153846152
ren-minus-ron,cycle_period_cv,13,,,-0.026397531833679908,0.22835628052532725,0.2734375,-0.3520754243362803,0.29907630740025165,0.32547383923393153
ron-minus-rof,rms_mm_s,14,,76.59278274695491,-53.09742062660323,0.07920122209928372,0.0494384765625,-0.509015902025879,,23.49536212035169
ron-minus-rof,dominant_freq_hz,14,,5.385044642857143,-0.5859375,0.40872485827399047,0.43251256882457256,-0.22816187684781739,,4.799107142857143
ron-minus-rof,spectral_entropy_2_12,14,,0.7323693420469974,0.15562574203033983,0.005834920355299301,0.0030517578125,0.8798704924125501,,0.8879950840773375
ron-minus-rof,cycle_period_mean,14,,0.18396205357142856,-0.012421874999999999,0.1794227999853533,0.3575439453125,-0.37924893320967934,,0.17154017857142856
ron-minus-rof,cycle_period_cv,14,,0.17080140804779273,0.1350361505214726,0.0005074879959782538,0.001220703125,1.226539035806811,,0.30583755856926537
ren-minus-ref,rms_mm_s,13,8.188045586967062,,-3.570701748574704,0.06640375881712035,0.080322265625,-0.5599645261095327,4.617343838392357,
ren-minus-ref,dominant_freq_hz,13,5.716646634615385,,-0.045072115384615384,0.9431333284694717,0.95947265625,-0.02020223014439785,5.671574519230769,
ren-minus-ref,spectral_entropy_2_12,13,0.837234794979232,,0.11049514443978002,0.004685189510844496,0.001220703125,0.9606538132858822,0.9477299394190121,
ren-minus-ref,cycle_period_mean,13,0.16545673076923076,,-0.007475961538461539,0.3459880611706072,0.454833984375,-0.2720626686558148,0.15798076923076926,
ren-minus-ref,cycle_period_cv,13,0.24348611480928198,,0.05559019259096967,0.12264875022022032,0.10986328125,0.4606066592162163,0.29907630740025165,
