feature,n,friedman_chi2,p,q_BH
mean_H,26,2.2153846153846644,0.5289244423569404,0.8147280941711639
mean_D,26,5.307692307692321,0.15060402697432462,0.8147280941711639
mean_lambda,26,3.738461538461536,0.29112568519125676,0.8147280941711639
multilevel,26,1.707692307692355,0.635224975832791,0.8147280941711639
pivot_rate,26,2.8153846153846303,0.4209735933375114,0.8147280941711639
tree_span_events,26,1.4307692307692719,0.6983383664324262,0.8147280941711639
tree_span_time,26,0.415384615384653,0.9370463747909554,0.9370463747909554
