feature,n,mean_z,t,p,positive_fraction,q_BH
mean_H,26,0.026058890692962862,0.3207296357997083,0.7510809577066923,0.5,0.9889199751701799
mean_D,26,0.034621956348709265,0.37487098428329485,0.7109178040848592,0.46153846153846156,0.9889199751701799
mean_lambda,26,0.00696425367894706,0.09446354226673648,0.9254939985180476,0.5384615384615384,0.9889199751701799
multilevel,26,0.0013743729802179589,0.014026756947623262,0.9889199751701799,0.5384615384615384,0.9889199751701799
pivot_rate,26,-0.02747423404635743,-0.32985607660455396,0.744256751601598,0.5,0.9889199751701799
tree_span_events,26,-0.02590957874993098,-0.22838608563645144,0.8212039095203126,0.46153846153846156,0.9889199751701799
tree_span_time,26,-0.09226141066677737,-0.8288816568192008,0.41501543181221484,0.3076923076923077,0.9889199751701799
