contrast,feature,n0,n1,PD-MCI_mean,PDD_mean,diff,welch_p,hedges_g,q_BH
PDD-vs-PD-MCI,compound_pivot_fraction,36,9,0.677979427979428,0.613973063973064,-0.06400636400636406,0.08790988493750977,-0.4253825346549549,0.9638600276733166
PDD-vs-PD-MCI,B3_multilevel,36,9,0.09531857031857033,0.1515943751237869,0.05627580480521657,0.192557658940061,0.4867044746947603,0.9638600276733166
PDD-vs-PD-MCI,sd_lambda,36,9,2.020854309767042,1.9771803580693406,-0.04367395169770161,0.21670026482163002,-0.39864753546189796,0.9638600276733166
PDD-vs-PD-MCI,tree_span_time,36,9,1.1244882902840656,1.1582084850672794,0.03372019478321375,0.2269392916128558,0.5104971161128412,0.9638600276733166
PDD-vs-PD-MCI,tree_span_events,36,9,2.252360522551506,2.3157075042176993,0.06334698166619335,0.23564522669052948,0.47772333232189856,0.9638600276733166
PDD-vs-PD-MCI,B3_mean_D,36,9,1.106022835189502,1.151594375123787,0.045571539934284866,0.29640135632927306,0.35835977387583134,0.9638600276733166
PDD-vs-PD-MCI,B1_mean_D,36,9,1.1081412414745748,1.0744074734270812,-0.03373376804749362,0.3069621907509481,-0.38285829328344806,0.9638600276733166
PDD-vs-PD-MCI,B0_multilevel,36,9,0.9978632478632478,1.0,0.00213675213675224,0.32417434238601556,0.18149393909961894,0.9638600276733166
PDD-vs-PD-MCI,sd_H,36,9,1.297641422841679,1.2598301806338787,-0.0378112422078003,0.3339125964457183,-0.2932348159635693,0.9638600276733166
PDD-vs-PD-MCI,B1_multilevel,36,9,0.10561598894932228,0.07440747342708126,-0.03120851552224102,0.3422897228615008,-0.3571819582793848,0.9638600276733166
PDD-vs-PD-MCI,B0_mean_H,36,9,4.339598981265648,4.399445434739553,0.05984645347390494,0.4152985084571261,0.32289765734279935,0.9638600276733166
PDD-vs-PD-MCI,tree_root_fraction,36,9,0.0237219955969956,0.022733874694659012,-0.0009881209023365894,0.48331567168443224,-0.28934690662612544,0.9638600276733166
PDD-vs-PD-MCI,mean_D,36,9,1.81355286303203,1.8256618472304749,0.012108984198444972,0.512682971428669,0.23177011313050172,0.9638600276733166
PDD-vs-PD-MCI,multilevel,36,9,0.35709485344902014,0.36586947910477324,0.008774625655753099,0.5128150509736437,0.23548889118906957,0.9638600276733166
PDD-vs-PD-MCI,B0_mean_D,36,9,3.68015518432185,3.718525120485905,0.03836993616405504,0.5182976832564379,0.2072208295188488,0.9638600276733166
PDD-vs-PD-MCI,B1_mean_H,36,9,5.303350276266943,5.19902290882683,-0.10432736744011262,0.5580303732939565,-0.29359486471053203,0.9638600276733166
PDD-vs-PD-MCI,pivot_depth,36,9,1.9461029711029711,1.907267115600449,-0.03883585550252211,0.5988892182128014,-0.15557451161132374,0.9638600276733166
PDD-vs-PD-MCI,B3_mean_lambda,36,9,5.125480229646897,5.056981580510992,-0.06849864913590498,0.646160668419384,-0.1512276317857283,0.9638600276733166
PDD-vs-PD-MCI,B0_mean_lambda,36,9,1.659443796943797,1.6809203142536475,0.021476517309850562,0.6622817559221159,0.22691379835844414,0.9638600276733166
PDD-vs-PD-MCI,B1_mean_lambda,36,9,5.195209034792368,5.12461543539975,-0.07059359939261789,0.7103062051266632,-0.18040370454998222,0.9638600276733166
PDD-vs-PD-MCI,mean_lambda,36,9,4.230839241776741,4.202318115798509,-0.028521125978232753,0.7343954545685429,-0.156383706257211,0.9638600276733166
PDD-vs-PD-MCI,sd_D,36,9,1.258770282793575,1.2666211509887986,0.007850868195223626,0.7799441872189161,0.08983211158633485,0.9638600276733166
PDD-vs-PD-MCI,pivot_rate,36,9,0.23066590045756716,0.23392338416848218,0.0032574837109150268,0.7916282736088353,0.08028632778120548,0.9638600276733166
PDD-vs-PD-MCI,B2_multilevel,36,9,0.22958160666493996,0.23747606786822473,0.00789446120328477,0.7976772642813654,0.07977734394130116,0.9638600276733166
PDD-vs-PD-MCI,mean_H,36,9,5.044392104808771,5.027979963028983,-0.01641214177978778,0.84030314497116,-0.09360249774643446,0.9747516481665456
PDD-vs-PD-MCI,B3_mean_H,36,9,5.231503064836399,5.208575955634779,-0.022927109201620333,0.8805111959476181,-0.05697232709038986,0.9815302335248685
PDD-vs-PD-MCI,B2_mean_D,36,9,1.3598921911421913,1.358120419885126,-0.001771771257065291,0.9752635492243072,-0.010218858596356042,0.9815302335248685
PDD-vs-PD-MCI,B2_mean_lambda,36,9,4.943223905723906,4.946755133029643,0.0035312273057366284,0.9759642634410571,0.010064091730701103,0.9815302335248685
PDD-vs-PD-MCI,B2_mean_H,36,9,5.303116096866096,5.304875552914768,0.0017594560486724475,0.9815302335248685,0.007432737562975928,0.9815302335248685
