key,tr,n_volumes,n_peaks,n_macroframes,peak_interval_mean,peak_interval_cv,coactivation_mean,coactivation_sd,global_sd,global_lag1,spectral_entropy,dvars_pct,tsnr,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,B0_mean_H,B0_mean_D,B0_mean_lambda,B0_multilevel,B1_mean_H,B1_mean_D,B1_mean_lambda,B1_multilevel,B2_mean_H,B2_mean_D,B2_mean_lambda,B2_multilevel,B3_mean_H,B3_mean_D,B3_mean_lambda,B3_multilevel,subject,session,condition,run
ds005906/sub-01/ses-01/func/sub-01_ses-01_task-restOFF_acq-36slices_run-01_bold.nii.gz,2.1500000953674316,163,26,6,13.072000579833984,0.328673131300918,0.9147632911705071,0.4052352059386677,0.8043932520177799,0.8865814065256221,0.6757951843299339,1.725224144004383,54.3029127795405,6,24,4.625,1.3452816094393218,1.75,1.1131623577819225,3.875,2.028331934073565,0.375,0.20833333333333334,0.6,2.2,1.9565217391304348,1.0108695652173914,0.041666666666666664,1.9166666666666667,450.7161658257249,1075.0000476837183,3.6666666666666665,3.3333333333333335,1.3333333333333333,1.0,4.833333333333333,1.0,4.833333333333333,0.0,5.166666666666667,1.5,4.666666666666667,0.3333333333333333,4.833333333333333,1.1666666666666667,4.666666666666667,0.16666666666666666,sub-01,ses-01,OFF,01
ds005906/sub-01/ses-01/func/sub-01_ses-01_task-restOFF_acq-36slices_run-02_bold.nii.gz,2.1500000953674316,163,24,5,14.021739752396293,0.2351444859930364,0.930962994941946,0.36623870134987613,0.7899616744078102,0.9061142964873339,0.6199209330374168,2.2061361538823023,92.39248183668897,5,20,4.45,1.050062654772261,1.75,1.164157703189193,3.7,1.8093325317714033,0.35,0.2,0.5,1.75,2.1578947368421053,1.0460526315789473,0.05,1.9,322.50001430511503,1075.0000476837192,3.8,3.6,1.2,1.0,5.0,1.2,4.8,0.2,4.8,1.2,4.6,0.2,4.2,1.0,4.2,0.0,sub-01,ses-01,OFF,02
ds005906/sub-01/ses-01/func/sub-01_ses-01_task-restON_acq-36slices_run-01_bold.nii.gz,2.1500000953674316,163,28,6,12.501852406395805,0.37263973058283173,0.7918762106422692,0.6125635586727757,0.8723808031642049,0.8845513296369711,0.8328746301808619,1.6840840475762096,97.08922050784057,6,24,4.583333333333333,1.5012072436561839,1.75,1.224744871391589,3.8333333333333335,2.140025734641417,0.3333333333333333,0.08333333333333333,1.0,2.5,1.9130434782608696,0.9347826086956522,0.041666666666666664,1.875,428.3203314989806,1075.0000476837183,3.8333333333333335,3.5,1.3333333333333333,1.0,4.666666666666667,1.1666666666666667,4.5,0.16666666666666666,5.0,1.3333333333333333,4.666666666666667,0.16666666666666666,4.833333333333333,1.0,4.833333333333333,0.0,sub-01,ses-01,ON,01
ds005906/sub-01/ses-01/func/sub-01_ses-01_task-restON_acq-36slices_run-02_bold.nii.gz,2.1500000953674316,163,26,6,13.330000591278075,0.3839477649754221,0.8722033858155992,0.49065076348109726,0.7358915567797533,0.8893356128571299,0.7335182670653965,1.7195595826803745,102.16159745899485,6,24,4.583333333333333,1.1389036172018079,1.6666666666666667,1.203858530857692,3.9166666666666665,1.8395809226599662,0.25,0.25,0.3333333333333333,1.5,2.130434782608696,1.0407608695652173,0.041666666666666664,1.9583333333333333,515.1041895151142,1075.0000476837188,4.0,3.6666666666666665,1.3333333333333333,1.0,5.0,1.0,5.0,0.0,4.666666666666667,1.0,4.666666666666667,0.0,4.666666666666667,1.0,4.666666666666667,0.0,sub-01,ses-01,ON,02
ds005906/sub-01/ses-02/func/sub-01_ses-02_task-restOFF_acq-36slices_run-01_bold.nii.gz,2.1500000953674316,163,23,5,15.050000667572021,0.4159128263301434,0.9209958890812189,0.39077282231430244,0.8257871691769783,0.8987114529071125,0.7332179283901269,1.9052523488243645,76.26009302016615,5,20,4.2,1.361114094757441,1.7,1.0809352675491621,3.5,1.9056702094980709,0.4,0.2,1.0,2.0,2.1052631578947367,1.0526315789473684,0.05,1.7,466.95314571261406,1075.0000476837188,3.4,3.2,1.2,1.0,4.4,1.4,4.0,0.4,4.8,1.2,4.6,0.2,4.2,1.0,4.2,0.0,sub-01,ses-02,OFF,01
ds005906/sub-01/ses-02/func/sub-01_ses-02_task-restOFF_acq-36slices_run-02_bold.nii.gz,2.1500000953674316,163,26,6,13.072000579833984,0.3550498872520214,0.8106369887455428,0.5873535022467062,0.9072846510674051,0.9352787503361282,0.6944157450429187,1.7682553231758957,89.35966472122735,6,24,4.416666666666667,1.2825472842090009,1.7916666666666667,1.1787674722451362,3.625,1.9740159904202355,0.375,0.20833333333333334,0.8,2.0,1.9130434782608696,1.013586956521739,0.041666666666666664,1.6666666666666667,419.9218936264515,1075.000047683718,3.6666666666666665,3.3333333333333335,1.3333333333333333,1.0,4.5,1.0,4.5,0.0,4.666666666666667,1.8333333333333333,3.8333333333333335,0.5,4.833333333333333,1.0,4.833333333333333,0.0,sub-01,ses-02,OFF,02
ds005906/sub-01/ses-02/func/sub-01_ses-02_task-restON_acq-36slices_run-01_bold.nii.gz,2.1500000953674316,163,24,5,14.208696282428244,0.3017331160672532,0.9335761685265834,0.35948344353623224,0.7828144160176567,0.9020820752961303,0.7554594887311838,1.759109794273916,75.55750949872115,5,20,4.1,1.2937094768634556,1.8,1.3611140947574412,3.3,1.7800059136507325,0.35,0.15,1.0,2.3333333333333335,1.9473684210526316,1.013157894736842,0.05,1.5,571.0937753319741,1075.0000476837192,3.8,3.6,1.2,1.0,4.2,1.0,4.2,0.0,4.4,1.6,3.8,0.4,4.0,1.0,4.0,0.0,sub-01,ses-02,ON,01
ds005906/sub-01/ses-02/func/sub-01_ses-02_task-restON_acq-36slices_run-02_bold.nii.gz,2.1500000953674316,163,22,5,15.561905452183314,0.3755881813828277,0.9051032726446183,0.42650209535320033,0.8709056306425398,0.9191753219784097,0.6767780723536079,1.6707406148995778,70.86904899800845,5,20,5.0,1.3377121081198773,1.8,1.3611140947574412,4.2,2.2147828692435603,0.3,0.15,0.6666666666666666,2.0,2.0,1.013157894736842,0.05,2.4,342.65626519918425,1075.000047683715,4.2,4.0,1.2,1.0,5.6,1.0,5.6,0.0,5.4,1.2,5.2,0.2,4.8,1.0,4.8,0.0,sub-01,ses-02,ON,02
ds005906/sub-02/ses-01/func/sub-02_ses-01_task-restOFF_acq-38slices_run-01_bold.nii.gz,2.1500000953674316,163,23,5,15.050000667572021,0.3581618117302907,0.8633019862480493,0.506242984674986,0.8630144935106585,0.8931146075594485,0.7783065548966076,1.9236944499996413,92.51250361192592,5,20,4.05,1.050062654772261,1.7,1.0310954828418373,3.35,1.6630662866176473,0.4,0.15,0.6666666666666666,2.0,1.9473684210526316,0.9572368421052632,0.05,1.55,517.343772947788,1075.0000476837192,3.4,3.2,1.2,1.0,3.8,1.4,3.4,0.4,4.6,1.2,4.4,0.2,4.4,1.0,4.4,0.0,sub-02,ses-01,OFF,01
ds005906/sub-02/ses-01/func/sub-02_ses-01_task-restOFF_acq-38slices_run-02_bold.nii.gz,2.1500000953674316,163,24,5,14.395652812460195,0.3442282341278285,0.8929111676980389,0.4516203457145894,0.7081540135170696,0.8725324421757398,0.711291769087108,2.353188062297572,57.10467489131725,5,20,4.75,1.164157703189193,1.8,1.1964860832322377,3.95,2.0384462607326044,0.35,0.3,0.6666666666666666,1.6666666666666667,1.9473684210526316,1.013157894736842,0.05,2.15,446.7968948185452,1075.000047683718,3.8,3.6,1.2,1.0,5.2,1.0,5.2,0.0,4.6,1.6,4.0,0.4,5.4,1.0,5.4,0.0,sub-02,ses-01,OFF,02
