contrast,feature,n_pairs,OFF_mean,ON_mean,mean_difference,paired_p,dz,q_BH
ON-minus-OFF,B3_mean_H,10,4.7508928571428575,4.989642857142857,0.23874999999999993,0.007549452005974675,1.0835665543711006,0.21893410817326556
ON-minus-OFF,B3_mean_lambda,10,4.664583333333335,4.92154761904762,0.25696428571428587,0.025475778172984877,0.8454361225638514,0.3693987835082807
ON-minus-OFF,B2_mean_D,10,1.322172619047619,1.5040476190476189,0.18187499999999998,0.08834971967047718,0.6042450878002762,0.5840800908133075
ON-minus-OFF,tree_span_events,10,2.0327544160385385,1.9811488261717094,-0.051605589866828436,0.10588993925475824,-0.5682655409985973,0.5840800908133075
ON-minus-OFF,compound_pivot_fraction,10,0.6244047619047619,0.6858928571428572,0.06148809523809523,0.11368843266523052,0.5540255955707857,0.5840800908133075
ON-minus-OFF,B2_mean_lambda,10,4.475446428571428,4.172261904761905,-0.30318452380952393,0.12084415671999466,-0.5417311276844635,0.5840800908133075
ON-minus-OFF,tree_span_time,10,1.0147842178909365,0.9910761107932876,-0.023708107097649034,0.19367259732016076,-0.44420311049045125,0.6842831859696439
ON-minus-OFF,mean_D,10,1.7361383928571428,1.7884226190476191,0.052284226190476145,0.21465944753746266,0.42216423257821545,0.6842831859696439
ON-minus-OFF,B2_multilevel,10,0.24074404761904758,0.3257142857142857,0.0849702380952381,0.21799442574490596,0.41883233983343715,0.6842831859696439
ON-minus-OFF,B2_mean_H,10,4.7976190476190474,4.676309523809524,-0.12130952380952378,0.25589887257610466,-0.3836769648041186,0.6842831859696439
ON-minus-OFF,B0_mean_lambda,10,1.3493452380952382,1.3266666666666667,-0.022678571428571437,0.3246828050844447,-0.3294442019584666,0.6842831859696439
ON-minus-OFF,multilevel,10,0.3549851190476191,0.3766071428571428,0.021622023809523806,0.3274644086140579,0.3274479333917853,0.6842831859696439
ON-minus-OFF,B0_multilevel,10,0.9928571428571429,1.0,0.00714285714285714,0.3434363961379133,0.316227766016838,0.6842831859696439
ON-minus-OFF,mean_H,10,4.5082217261904765,4.5476190476190474,0.03939732142857144,0.3554938420291721,0.30801424828917606,0.6842831859696439
ON-minus-OFF,tree_root_fraction,10,0.04105654761904761,0.04208333333333333,0.001026785714285714,0.36426395097194164,0.3021688525810995,0.6842831859696439
ON-minus-OFF,pivot_depth,10,1.8573809523809524,1.9349404761904765,0.07755952380952377,0.3775355508798035,0.29351610891474345,0.6842831859696439
ON-minus-OFF,sd_lambda,10,1.9069974109652978,1.9351529266457117,0.028155515680414033,0.47441280010925185,0.23606422708742533,0.8092924237157826
ON-minus-OFF,sd_D,10,1.1439979237618434,1.1663501920877801,0.022352268325936488,0.5063968081927556,0.21882917690809964,0.8158615243105507
ON-minus-OFF,sd_H,10,1.2582043434888692,1.232067546309244,-0.02613679717962527,0.570113380999051,-0.18637333979819487,0.8631209810025249
ON-minus-OFF,B0_mean_D,10,3.413422619047619,3.4522619047619045,0.03883928571428567,0.5992765171391204,0.17221011003611922,0.8631209810025249
ON-minus-OFF,B3_mean_D,10,1.0863095238095237,1.068095238095238,-0.018214285714285693,0.638971379601768,-0.15350561029409682,0.8631209810025249
ON-minus-OFF,pivot_rate,10,0.20560267857142858,0.21104166666666666,0.005438988095238098,0.6792296407030081,0.13511163611585753,0.8631209810025249
ON-minus-OFF,B3_multilevel,10,0.07797619047619046,0.06392857142857142,-0.014047619047619041,0.6845442263123473,-0.13272155086659762,0.8631209810025249
ON-minus-OFF,B1_mean_H,10,4.721607142857143,4.745595238095238,0.023988095238095485,0.8176563382352445,0.07507503759392316,0.9148888276868654
ON-minus-OFF,mean_lambda,10,3.7720833333333337,3.7591964285714283,-0.012886904761904905,0.8299059652697457,-0.06993609186299526,0.9148888276868654
ON-minus-OFF,B0_mean_H,10,3.7627678571428573,3.7789285714285716,0.01616071428571435,0.8430476070272633,0.06444549110543053,0.9148888276868654
ON-minus-OFF,B1_multilevel,10,0.10836309523809522,0.11678571428571427,0.008422619047619045,0.8890915225850976,0.04536442267017032,0.9148888276868654
ON-minus-OFF,B1_mean_lambda,10,4.598958333333332,4.616309523809524,0.01735119047619076,0.9070204869455524,0.03798789892442308,0.9148888276868654
ON-minus-OFF,B1_mean_D,10,1.1226488095238096,1.129285714285714,0.006636904761904749,0.9148888276868654,0.034758110063198996,0.9148888276868654
