frontend,condition,B,observed_cosine,null_mean,null_sd,p,q_fdr
theta_global,late_abrupt,300,0.011927482565484333,-0.0037802105396595067,0.0558327942750407,0.3953488372093023,0.5382059800664452
alpha_global,late_abrupt,300,0.07146836617334523,8.372506977320874e-05,0.05481715763122073,0.08970099667774087,0.4152823920265781
beta_global,late_abrupt,300,0.017817687496624473,0.007913775087659542,0.060496347436116094,0.4318936877076412,0.5382059800664452
mu_central,late_abrupt,300,-0.0027112664725554205,0.0053797622852480706,0.05643283081616055,0.5382059800664452,0.5382059800664452
beta_central,late_abrupt,300,0.057614051259492656,0.002933786082715277,0.05768046389644982,0.16611295681063123,0.4152823920265781
