frontend,condition,change,feature,n,rho,p,q_global
theta_global,baseline,False,mean_H,30,-0.13840491209107397,0.465766328834109,0.9894404911404886
theta_global,baseline,False,sd_H,30,-0.18896061006639983,0.3172869626992282,0.9894404911404886
theta_global,baseline,False,mean_D,30,0.004997540390313813,0.9790901179462488,0.9980258640805014
theta_global,baseline,False,sd_D,30,0.004997540390313813,0.9790901179462488,0.9980258640805014
theta_global,baseline,False,mean_lambda,30,-0.15525758539097748,0.41265408091008837,0.9894404911404886
theta_global,baseline,False,sd_lambda,30,-0.13374875564383173,0.48104694470962,0.9894404911404886
theta_global,baseline,False,multilevel,30,-0.029996174520934626,0.8749692000598507,0.989854645308112
theta_global,baseline,False,pivot_rate,30,0.014852086244773037,0.9379109896903628,0.9920481792692906
theta_global,baseline,False,compound_pivot_fraction,30,-0.059719021816900114,0.753919291636397,0.989854645308112
theta_global,baseline,False,pivot_depth,30,-0.16283229029904805,0.3899372695579474,0.9894404911404886
theta_global,baseline,False,tree_span_events,30,0.011700469181028557,0.9510685642908688,0.9920481792692906
theta_global,baseline,False,tree_span_time,30,-0.06473859844271414,0.7339486010716714,0.989854645308112
theta_global,baseline,False,tree_root_fraction,30,0.019895169626282436,0.9168915020101869,0.9920481792692906
theta_global,baseline,False,tree_ascending_fraction,30,0.01845019384491507,0.9229091409131149,0.9920481792692906
theta_global,baseline,False,occ_L2,30,0.3892494720807615,0.033496842800407815,0.9894404911404886
theta_global,baseline,False,occ_L3,30,-0.06131393394849658,0.7475562673295105,0.989854645308112
theta_global,baseline,False,occ_L4,30,-0.0005385151164768835,0.997746593078749,1.0
theta_global,baseline,False,occ_L5,30,-0.20373551687539834,0.28020223509418213,0.9894404911404886
theta_global,baseline,False,occ_L6,30,0.2047293310029672,0.2778122087548275,0.9894404911404886
theta_global,baseline,False,occ_L7,30,0.15494150533269832,0.4136178295660762,0.9894404911404886
theta_global,baseline,False,occ_L8,30,0.07381112486934198,0.6982889970452917,0.989854645308112
theta_global,baseline,False,occ_L9,30,0.16522700045999358,0.3829080319340533,0.9894404911404886
theta_global,baseline,False,occ_L10,30,0.130493868891678,0.49188000375587393,0.9894404911404886
theta_global,baseline,False,occ_L11,30,0.29003585487930456,0.12001175579692196,0.9894404911404886
theta_global,early_abrupt,False,mean_H,30,0.006719682554642268,0.9718870735809242,0.9980258640805014
theta_global,early_abrupt,False,sd_H,30,-0.35466281759812507,0.054471819480056534,0.9894404911404886
theta_global,early_abrupt,False,mean_D,30,-0.10878565864408425,0.567167573977079,0.989854645308112
theta_global,early_abrupt,False,sd_D,30,-0.10871930568966823,0.5674054390812844,0.989854645308112
theta_global,early_abrupt,False,mean_lambda,30,-0.011952638967097752,0.9500152800929383,0.9920481792692906
theta_global,early_abrupt,False,sd_lambda,30,-0.3602270287308223,0.05053349605310247,0.9894404911404886
theta_global,early_abrupt,False,multilevel,30,-0.09711427209723061,0.6096842031632346,0.989854645308112
theta_global,early_abrupt,False,pivot_rate,30,-0.004119331139784896,0.9827639779059683,0.9995337664977442
theta_global,early_abrupt,False,compound_pivot_fraction,30,0.33325830056648115,0.07192216809164594,0.9894404911404886
theta_global,early_abrupt,False,pivot_depth,30,-0.13428162269821475,0.47928521221064607,0.9894404911404886
theta_global,early_abrupt,False,tree_span_events,30,-0.021860363540611338,0.9087146820356474,0.9920481792692906
theta_global,early_abrupt,False,tree_span_time,30,-0.07853170189098999,0.6799753297839526,0.989854645308112
theta_global,early_abrupt,False,tree_root_fraction,30,0.08094756096500101,0.6706707143197469,0.989854645308112
theta_global,early_abrupt,False,tree_ascending_fraction,30,0.24662293913293673,0.188908890437786,0.9894404911404886
theta_global,early_abrupt,False,occ_L2,30,,,
theta_global,early_abrupt,False,occ_L3,30,0.196116135138184,0.29896351505458707,0.9894404911404886
theta_global,early_abrupt,False,occ_L4,30,0.09869275424396533,0.6038564090845008,0.989854645308112
theta_global,early_abrupt,False,occ_L5,30,-0.20053536964718757,0.2879877226720113,0.9894404911404886
theta_global,early_abrupt,False,occ_L6,30,-0.19671052631578947,0.2974721080092572,0.9894404911404886
theta_global,early_abrupt,False,occ_L7,30,0.0726762288421793,0.7027172096958108,0.989854645308112
theta_global,early_abrupt,False,occ_L8,30,0.23889966851862948,0.20358210588608816,0.9894404911404886
theta_global,early_abrupt,False,occ_L9,30,0.23639292964885003,0.20850865163595067,0.9894404911404886
theta_global,early_abrupt,False,occ_L10,30,0.017089210251272476,0.928580815097943,0.9920481792692906
theta_global,early_abrupt,False,occ_L11,30,-0.06958290602366476,0.7148350841470221,0.989854645308112
