subject,condition,frontend,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,tree_ascending_fraction,occ_L1,occ_L2,occ_L3,occ_L4,occ_L5,occ_L6,occ_L7,occ_L8,occ_L9,occ_L10,occ_L11,occ_L12
S18,baseline,gait,9.041666666666666,1.5736738147920994,1.0833333333333333,0.408248290463863,8.958333333333334,1.8292114401439827,0.041666666666666664,0.2916666666666667,0.5714285714285714,2.142857142857143,1.5714285714285714,0.5522693452380952,0.125,0.6666666666666666,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.125,0.2916666666666667,0.3333333333333333,0.125,0.0
S18,baseline,theta_global,9.208333333333334,1.4738050920238275,1.0416666666666667,0.2041241452319315,9.166666666666666,1.5788456616111677,0.041666666666666664,0.2916666666666667,0.5714285714285714,2.2857142857142856,1.4761904761904763,0.5390625,0.125,0.6190476190476191,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.25,0.16666666666666666,0.2916666666666667,0.20833333333333334,0.0
S18,baseline,alpha_global,9.166666666666666,1.5227739752537621,1.0,0.0,9.166666666666666,1.5227739752537621,0.0,0.25,0.8333333333333334,2.3333333333333335,1.7727272727272727,0.6102627840909091,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.16666666666666666,0.3333333333333333,0.20833333333333334,0.20833333333333334,0.0
S18,baseline,beta_global,8.666666666666666,1.9927404479142845,1.0,0.0,8.666666666666666,1.9927404479142845,0.0,0.20833333333333334,0.6,2.8,2.090909090909091,0.6716974431818182,0.08333333333333333,0.5909090909090909,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.25,0.20833333333333334,0.16666666666666666,0.0
S18,baseline,mu_central,9.291666666666666,1.4288690166235207,1.0,0.0,9.291666666666666,1.4288690166235207,0.0,0.20833333333333334,0.8,2.6,2.409090909090909,0.8591974431818182,0.08333333333333333,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.25,0.375,0.16666666666666666,0.0
S18,baseline,beta_central,9.0,1.5322617553657476,1.0,0.0,9.0,1.5322617553657476,0.0,0.25,0.8333333333333334,2.5,2.4761904761904763,0.8322172619047619,0.125,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.16666666666666666,0.2916666666666667,0.16666666666666666,0.0
S18,early_abrupt,gait,9.166666666666666,1.2740441145412122,1.0,0.0,9.166666666666666,1.2740441145412122,0.0,0.25,0.6666666666666666,2.0,1.5714285714285714,0.5241815476190477,0.125,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2916666666666667,0.16666666666666666,0.2916666666666667,0.16666666666666666,0.0
S18,early_abrupt,theta_global,9.208333333333334,1.5316704909195136,1.0833333333333333,0.408248290463863,9.125,1.8012676695569996,0.041666666666666664,0.25,0.8333333333333334,2.5,1.6666666666666667,0.5405505952380952,0.125,0.5714285714285714,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.16666666666666666,0.2916666666666667,0.25,0.20833333333333334,0.0
S18,early_abrupt,alpha_global,8.916666666666666,1.9981875845846921,1.0,0.0,8.916666666666666,1.9981875845846921,0.0,0.20833333333333334,1.0,3.2,1.9090909090909092,0.6377840909090909,0.08333333333333333,0.5,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.25,0.0
S18,early_abrupt,beta_global,8.833333333333334,1.857222485950146,1.0,0.0,8.833333333333334,1.857222485950146,0.0,0.2916666666666667,0.5714285714285714,2.4285714285714284,1.95,0.6189453125,0.16666666666666666,0.65,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.08333333333333333,0.3333333333333333,0.2916666666666667,0.125,0.0
S18,early_abrupt,mu_central,8.875,1.4836060651405207,1.0,0.0,8.875,1.4836060651405207,0.0,0.25,0.8333333333333334,2.1666666666666665,1.7727272727272727,0.5987215909090909,0.08333333333333333,0.45454545454545453,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.16666666666666666,0.08333333333333333,0.375,0.20833333333333334,0.125,0.0
S18,early_abrupt,beta_central,9.125,1.895360468182194,1.0,0.0,9.125,1.895360468182194,0.0,0.16666666666666666,1.0,2.5,1.6521739130434783,0.5495923913043478,0.041666666666666664,0.4782608695652174,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.25,0.0
S18,late_abrupt,gait,8.75,1.6484511834894675,1.0,0.0,8.75,1.6484511834894675,0.0,0.25,0.8333333333333334,2.0,2.0454545454545454,0.703125,0.08333333333333333,0.6363636363636364,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2916666666666667,0.125,0.0
S18,late_abrupt,theta_global,9.375,1.2790111669635225,1.0,0.0,9.375,1.2790111669635225,0.0,0.20833333333333334,0.8,2.0,1.6818181818181819,0.5662286931818182,0.08333333333333333,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.375,0.25,0.20833333333333334,0.0
S18,late_abrupt,alpha_global,9.25,1.1887150534341144,1.0,0.0,9.25,1.1887150534341144,0.0,0.16666666666666666,0.75,2.5,1.9047619047619047,0.6475074404761905,0.125,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.125,0.2916666666666667,0.4166666666666667,0.08333333333333333,0.0
S18,late_abrupt,beta_global,9.083333333333334,1.1764599317505433,1.0,0.0,9.083333333333334,1.1764599317505433,0.0,0.2916666666666667,0.42857142857142855,1.7142857142857142,2.0454545454545454,0.697265625,0.08333333333333333,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,0.2916666666666667,0.3333333333333333,0.08333333333333333,0.0
S18,late_abrupt,mu_central,9.041666666666666,1.0417028979206266,1.0,0.0,9.041666666666666,1.0417028979206266,0.0,0.25,0.8333333333333334,2.0,1.6666666666666667,0.5228794642857143,0.125,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.041666666666666664,0.0
S18,late_abrupt,beta_central,9.333333333333334,1.2394482175782784,1.0,0.0,9.333333333333334,1.2394482175782784,0.0,0.25,0.5,1.5,1.6363636363636365,0.5369318181818182,0.08333333333333333,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.08333333333333333,0.2916666666666667,0.3333333333333333,0.16666666666666666,0.0
S18,early_gradual,gait,9.25,1.4521348601882378,1.0833333333333333,0.408248290463863,9.166666666666666,1.7362294645648624,0.041666666666666664,0.20833333333333334,0.6,2.2,1.4285714285714286,0.4856770833333333,0.125,0.47619047619047616,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.3333333333333333,0.16666666666666666,0.0
