contrast,feature,n0,n1,healthy_mean,pd_mean,diff,welch_p,hedges_g,q_BH
pd-vs-healthy,multilevel,79,276,0.010548523206751056,0.013511473429951688,0.0029629502232006322,0.11731687139426365,0.19310924094148638,0.759915553961409
pd-vs-healthy,compound_pivot_fraction,79,276,0.6731163351416516,0.6928873360938579,0.019771000952206297,0.23594214228494426,0.14287344375655703,0.759915553961409
pd-vs-healthy,sd_D,79,276,0.06885801039972632,0.0831323917711171,0.014274381371390782,0.27606627853449667,0.1386017258093016,0.759915553961409
pd-vs-healthy,pivot_rate,79,276,0.2460443037974683,0.24101751207729466,-0.005026791720173646,0.2767483298850286,-0.12857667091882394,0.759915553961409
pd-vs-healthy,mean_D,79,276,1.0150316455696202,1.018191425120773,0.003159779551152875,0.2922752130620804,0.13705889317375505,0.759915553961409
pd-vs-healthy,pivot_depth,79,276,2.4301034759895517,2.473324275362319,0.04322079937276735,0.3896058713600126,0.10350265616690553,0.7671529467433535
pd-vs-healthy,sd_lambda,79,276,1.633862330257937,1.6561698534815064,0.022307523223569437,0.41308235593872883,0.10839861510160294,0.7671529467433535
pd-vs-healthy,tree_span_events,79,276,1.8685317480171635,1.8846456699978738,0.016113921980710266,0.5691956452850823,0.06531930578734917,0.8681499556701118
pd-vs-healthy,sd_H,79,276,1.5992643021190869,1.6119492594185465,0.01268495729945962,0.6197003214785597,0.06608267735553079,0.8681499556701118
pd-vs-healthy,tree_span_time,79,276,1.2730954638279015,1.2825778513123833,0.009482387484481825,0.6678076582077783,0.05284505854353628,0.8681499556701118
pd-vs-healthy,mean_H,79,276,9.404535864978904,9.412817028985508,0.008281164006604058,0.7492356903261072,0.04042411630590006,0.8854603612944902
pd-vs-healthy,mean_lambda,79,276,9.389504219409282,9.394625603864734,0.005121384455451405,0.8472804837137603,0.024325955316548093,0.917887190689907
pd-vs-healthy,tree_root_fraction,79,276,0.09915611814345991,0.09895833333333331,-0.0001977848101265972,0.9495334800600508,-0.007644080766933627,0.9495334800600508
