contrast,feature,n0,n1,other_mean,pd_mean,diff,welch_p,hedges_g,q_BH
pd-vs-other,tree_span_time,114,276,1.2476748535297768,1.2825778513123833,0.034902997782606526,0.07041853842622553,0.19589336610854532,0.9018164140075865
pd-vs-other,multilevel,114,276,0.011330409356725147,0.013511473429951688,0.002181064073226541,0.19144165740044358,0.14230301318316335,0.9018164140075865
pd-vs-other,tree_span_events,114,276,1.8552078859979617,1.8846456699978738,0.029437783999912037,0.2673230059277938,0.11833815068516405,0.9018164140075865
pd-vs-other,tree_root_fraction,114,276,0.09685672514619882,0.09895833333333331,0.0021016081871344933,0.47896565652505774,0.0792829420467221,0.9018164140075865
pd-vs-other,mean_D,114,276,1.0164473684210527,1.018191425120773,0.001744056699720442,0.5098038227346463,0.07500231542880191,0.9018164140075865
pd-vs-other,mean_lambda,114,276,9.40716374269006,9.394625603864734,-0.012538138825325618,0.6128396662912453,-0.0580341456563287,0.9018164140075865
pd-vs-other,sd_D,114,276,0.0774122719172618,0.0831323917711171,0.005720119853855302,0.6395048699040609,0.05400469230395341,0.9018164140075865
pd-vs-other,mean_H,114,276,9.423611111111112,9.412817028985508,-0.010794082125604731,0.6513408735125764,-0.05156479355119567,0.9018164140075865
pd-vs-other,pivot_depth,114,276,2.453045808966862,2.473324275362319,0.020278466395457162,0.6927483438627163,0.04595775663178875,0.9018164140075865
pd-vs-other,sd_lambda,114,276,1.6467868122122595,1.6561698534815064,0.009383041269246828,0.6953448687222696,0.04511584608277564,0.9018164140075865
pd-vs-other,sd_H,114,276,1.60531411372683,1.6119492594185465,0.006635145691716415,0.7630754272371886,0.03448432439220181,0.9018164140075865
pd-vs-other,pivot_rate,114,276,0.24013157894736842,0.24101751207729466,0.0008859331299262418,0.8367648819809208,0.022390727274760224,0.9064952888126642
pd-vs-other,compound_pivot_fraction,114,276,0.6918059036480089,0.6928873360938579,0.0010814324458490177,0.9449443189121177,0.007662764022787653,0.9449443189121177
