,binary_counter,cardiorespiratory,cmapss,gait,neural_theta_spike,ultrasound
binary_counter,0.0,3.483667077754555,3.2890556877043378,2.4899616440783254,3.423119427423022,3.420707354028322
cardiorespiratory,3.483667077754555,0.0,0.6062615397744192,2.908020738261393,0.15934353090005454,0.31912360510120413
cmapss,3.2890556877043378,0.6062615397744192,0.0,2.4353530075612877,0.5993669867576907,0.6472739937631231
gait,2.4899616440783254,2.908020738261393,2.4353530075612877,0.0,2.873878538210697,2.907859482608728
neural_theta_spike,3.423119427423022,0.15934353090005454,0.5993669867576907,2.873878538210697,0.0,0.25404168977342007
ultrasound,3.420707354028322,0.31912360510120413,0.6472739937631231,2.907859482608728,0.25404168977342007,0.0
