domain,n,centroid_norm,null_tail_p
binary_counter,20,3.382955552736802,0.0004997501249375312
cardiorespiratory,20,0.35178133039474846,0.021989005497251374
cmapss,20,0.5182843444006152,0.0004997501249375312
fmri,20,0.8000385708329129,0.0004997501249375312
gait,20,2.7680437582528965,0.0004997501249375312
neural_theta_spike,20,0.26462550662828155,0.15792103948025987
ultrasound,20,0.2903704599447708,0.08195902048975512
