contrast,feature,n0,n1,young_mean,pd_mean,diff,welch_p,hedges_g,q_BH
pd-vs-young,sd_H,5,5,3.1243097286602746,2.3113746842281975,-0.8129350444320771,5.6930879747046606e-05,-5.830738258435115,0.0006060028837332782
pd-vs-young,mean_H,5,5,9.293055555555556,10.373611111111112,1.0805555555555557,5.726181983133142e-05,4.669321905984427,0.0006060028837332782
pd-vs-young,mean_lambda,5,5,9.073611111111111,10.302777777777779,1.2291666666666679,7.272034604799338e-05,4.726580959689624,0.0006060028837332782
pd-vs-young,sd_lambda,5,5,3.425642437898921,2.468737766329956,-0.9569046715689651,0.00022873461885972003,-5.065530640839526,0.0014295913678732501
pd-vs-young,multilevel,5,5,0.16111111111111112,0.05277777777777778,-0.10833333333333334,0.00047455331740666547,-4.025806451612903,0.0023727665870333274
pd-vs-young,pivot_depth,5,5,5.202997557997558,3.472776952776953,-1.7302206052206053,0.0006634034707424004,-3.382643888774525,0.002764181128093335
pd-vs-young,mean_D,5,5,1.2194444444444446,1.0666666666666667,-0.1527777777777779,0.0009029763852781975,-3.2004189049782523,0.003224915661707848
pd-vs-young,HS3_mean_lambda,5,5,9.212499999999999,10.5125,1.3000000000000007,0.0015652279383757215,3.0399019346987792,0.003946194421964787
pd-vs-young,HS2_multilevel,5,5,0.3,0.07083333333333333,-0.22916666666666666,0.0015754781622924492,-2.750323418812033,0.003946194421964787
pd-vs-young,HS1_mean_lambda,5,5,9.070833333333335,9.958333333333332,0.8874999999999975,0.0016063647146464712,2.801415529708743,0.003946194421964787
pd-vs-young,HS3_mean_H,5,5,9.279166666666665,10.541666666666668,1.2625000000000028,0.0017363255456645064,3.053135123765929,0.003946194421964787
pd-vs-young,HS2_mean_lambda,5,5,8.9375,10.4375,1.5,0.002160502994749117,2.538599415566766,0.0043357419999131295
pd-vs-young,HS2_mean_H,5,5,9.4125,10.5625,1.1500000000000004,0.0022908100445859186,2.5251468869764158,0.0043357419999131295
pd-vs-young,HS1_mean_H,5,5,9.1875,10.016666666666667,0.8291666666666675,0.0024280155199513523,2.6316224938132478,0.0043357419999131295
pd-vs-young,sd_D,5,5,0.5347787976806584,0.31367260659903506,-0.22110619108162333,0.003077652922351649,-2.525217041326554,0.005129421537252749
pd-vs-young,HS2_mean_D,5,5,1.475,1.1249999999999998,-0.3500000000000003,0.0034829491829017297,-2.381456222565903,0.005442108098283952
pd-vs-young,HS3_mean_D,5,5,1.0666666666666667,1.0291666666666666,-0.03750000000000009,0.020564170075444956,-1.8773195849778836,0.028561347327006992
pd-vs-young,HS3_multilevel,5,5,0.06666666666666667,0.029166666666666667,-0.0375,0.020564170075445035,-1.8773195849778797,0.028561347327006992
pd-vs-young,HS1_mean_D,5,5,1.1166666666666667,1.0458333333333334,-0.0708333333333333,0.0895741146004605,-1.1031241776096103,0.11786067710586907
pd-vs-young,HS1_multilevel,5,5,0.11666666666666667,0.058333333333333334,-0.058333333333333334,0.1021827618736947,-1.0783829782116034,0.12772845234211838
pd-vs-young,tree_span_time,5,5,1.8874083877170367,2.1096566399243444,0.2222482522073077,0.15423242095167652,0.9036626507879449,0.17742049968162504
pd-vs-young,compound_pivot_fraction,5,5,0.8206715506715507,0.7269062469062468,-0.0937653037653039,0.15613003971983003,-0.929930693803675,0.17742049968162504
pd-vs-young,tree_span_events,5,5,2.8402580518073477,3.1419820805809264,0.30172402877357873,0.17806853331949568,0.8450301330119294,0.19355275360814747
pd-vs-young,tree_root_fraction,5,5,0.015277777777777779,0.01953309692671395,0.004255319148936169,0.2971118648767094,0.6598244239023789,0.3094915259132389
pd-vs-young,pivot_rate,5,5,0.2569444444444445,0.2569444444444444,-5.551115123125783e-17,0.999999999999995,-3.7284079890140664e-15,0.999999999999995
