contrast,feature,n0,n1,old_mean,pd_mean,diff,welch_p,hedges_g,q_BH
pd-vs-old,HS3_mean_D,5,5,1.1416666666666668,1.0291666666666666,-0.11250000000000027,0.00012609609726932846,-3.982396226976529,0.001576201215866628
pd-vs-old,HS3_multilevel,5,5,0.14166666666666666,0.029166666666666667,-0.11249999999999999,0.00012609609726933022,-3.9823962269765216,0.001576201215866628
pd-vs-old,multilevel,5,5,0.17083333333333334,0.05277777777777778,-0.11805555555555555,0.00045901916854305377,-3.2699488703222728,0.0038251597378587813
pd-vs-old,pivot_depth,5,5,5.208992230599117,3.472776952776953,-1.736215277822164,0.0013704318045858295,-2.7430595087934906,0.005976812409063266
pd-vs-old,sd_lambda,5,5,3.2543991809759043,2.468737766329956,-0.7856614146459484,0.0015437502543179142,-2.757352645600074,0.005976812409063266
pd-vs-old,mean_D,5,5,1.211111111111111,1.0666666666666667,-0.14444444444444438,0.001570981056884124,-2.6962804039153396,0.005976812409063266
pd-vs-old,HS3_mean_lambda,5,5,8.9875,10.5125,1.5249999999999986,0.0016735074745377143,3.1680236098382673,0.005976812409063266
pd-vs-old,HS3_mean_H,5,5,9.129166666666666,10.541666666666668,1.4125000000000014,0.0025305498639275276,2.9904580029650893,0.007907968324773524
pd-vs-old,sd_H,5,5,2.967580055959477,2.3113746842281975,-0.6562053717312795,0.0029650771694968007,-2.649713614159231,0.008236325470824446
pd-vs-old,HS2_multilevel,5,5,0.2666666666666667,0.07083333333333333,-0.1958333333333334,0.004594349504501787,-2.289669726455811,0.011485873761254466
pd-vs-old,mean_lambda,5,5,9.090277777777777,10.302777777777779,1.2125000000000021,0.005097352663081435,2.489030709232567,0.01158489241609417
pd-vs-old,mean_H,5,5,9.301388888888889,10.373611111111112,1.0722222222222229,0.006516619994080133,2.4080311709010846,0.01357629165433361
pd-vs-old,HS2_mean_D,5,5,1.3875,1.1249999999999998,-0.2625000000000002,0.007764276820998319,-2.014983717562978,0.014667833656356832
pd-vs-old,sd_D,5,5,0.49466558899562757,0.31367260659903506,-0.1809929823965925,0.008213986847559826,-2.134815934604931,0.014667833656356832
pd-vs-old,HS2_mean_lambda,5,5,9.15,10.4375,1.2874999999999996,0.010376766652656579,1.9244049399398195,0.017294611087760967
pd-vs-old,HS2_mean_H,5,5,9.537500000000001,10.5625,1.0249999999999986,0.011895682481869244,1.87729166591621,0.018587003877920692
pd-vs-old,HS1_mean_lambda,5,5,9.133333333333333,9.958333333333332,0.8249999999999993,0.045654673283876256,1.5115979340672647,0.06713922541746509
pd-vs-old,HS1_mean_H,5,5,9.2375,10.016666666666667,0.7791666666666668,0.05285779375606278,1.4463405495796633,0.07194758164503465
pd-vs-old,tree_span_events,5,5,2.7125352112676056,3.1419820805809264,0.4294468693133209,0.054680162050226334,1.3130554278735482,0.07194758164503465
pd-vs-old,tree_span_time,5,5,1.8189895623742456,2.1096566399243444,0.2906670775500988,0.06121411927873388,1.2841643094813504,0.07651764909841735
pd-vs-old,compound_pivot_fraction,5,5,0.8470339144227236,0.7269062469062468,-0.12012766751647674,0.0822873734075771,-1.2068450457052322,0.09796115881854416
pd-vs-old,HS1_mean_D,5,5,1.1041666666666665,1.0458333333333334,-0.058333333333333126,0.12417803394147715,-0.984424471326826,0.14111140220622403
pd-vs-old,HS1_multilevel,5,5,0.10416666666666667,0.058333333333333334,-0.04583333333333334,0.13654479027840838,-0.9527399797257955,0.1484182503026178
pd-vs-old,tree_root_fraction,5,5,0.01666666666666667,0.01953309692671395,0.0028664302600472785,0.39355032903239884,0.5253609846588337,0.40994825940874874
pd-vs-old,pivot_rate,5,5,0.25416666666666665,0.2569444444444444,0.002777777777777768,0.7791157156986016,0.1675443752423828,0.7791157156986016
