feature,n,mean_z,t,p,q_BH
mean_H,26,-0.07459004796994766,-0.8788412130950098,0.38785652250999253,0.678748914392487
mean_D,26,0.009545543553782723,0.1040917974228516,0.9179270852956258,0.9179270852956259
mean_lambda,26,-0.07785967533881254,-0.952110995391111,0.35015598037652784,0.678748914392487
multilevel,26,0.03735815442769053,0.3895690066983648,0.700154208388714,0.9179270852956259
pivot_rate,26,-0.0235383876762879,-0.24532141708224806,0.8082102360654311,0.9179270852956259
tree_span_events,26,-0.15123317424218755,-2.2050343087410855,0.03687268025520824,0.12905438089322885
tree_span_time,26,-0.19277318284817,-2.988062912928873,0.006213748326775657,0.0434962382874296
