contrast,feature,other_mean,pd_mean,diff_pd_minus_other,welch_p,hedges_g,q_BH_within_contrast
pd-vs-als,LTO_mean_H,9.19921875,8.958705357142858,-0.24051339285714235,0.021404947331608713,-0.9221564431104337,0.41553806193907594
pd-vs-als,mean_H,8.626953125,8.426618303571429,-0.20033482142857117,0.029043826298393152,-0.8818871005624015,0.41553806193907594
pd-vs-als,RHS_mean_H,9.075520833333334,8.8359375,-0.23958333333333393,0.0651941012667594,-0.7522696159826362,0.41553806193907594
pd-vs-als,mean_lambda,7.455078125,7.268694196428571,-0.18638392857142883,0.0716444934377717,-0.7218333158582728,0.41553806193907594
pd-vs-als,projection_depth_mean,4.934895833333334,4.686383928571429,-0.2485119047619051,0.07164449343777171,-0.7218333158582729,0.41553806193907594
pd-vs-als,RTO_mean_H,9.20703125,8.986607142857142,-0.22042410714285765,0.15480955304969332,-0.5719318886505206,0.623355070732339
pd-vs-als,RTO_mean_lambda,9.20703125,8.986607142857142,-0.22042410714285765,0.15480955304969332,-0.5719318886505206,0.623355070732339
pd-vs-als,RHS_mean_lambda,8.5546875,8.175223214285714,-0.3794642857142865,0.1719600195123694,-0.5480530183239677,0.623355070732339
pd-vs-als,LTO_mean_lambda,9.04296875,8.897321428571429,-0.14564732142857117,0.24911675828912577,-0.4577964634205744,0.802709554487183
pd-vs-als,tree_root_fraction,0.003907526552287582,0.00390625,-1.2765522875816948e-06,0.3388006961962015,-0.4129361243098139,0.8909213291402525
pd-vs-als,LTO_mean_D,1.15625,1.0613839285714286,-0.0948660714285714,0.36521127601855446,-0.3852977326535492,0.8909213291402525
pd-vs-als,RHS_mean_D,1.5208333333333333,1.6607142857142858,0.13988095238095255,0.39866824744916196,0.333515579063832,0.8909213291402525
pd-vs-als,RHS_multilevel,0.18619791666666666,0.22991071428571427,0.043712797619047616,0.4200111399408373,0.3174795861823683,0.8909213291402525
pd-vs-als,LHS_mean_H,7.026041666666667,6.925223214285714,-0.10081845238095255,0.5094951006846709,-0.2647326532404776,0.8909213291402525
pd-vs-als,LHS_mean_D,5.010416666666667,4.909598214285714,-0.10081845238095255,0.5094951006846709,-0.2647326532404776,0.8909213291402525
pd-vs-als,pivot_depth,2.7367687866077213,2.6527261850921966,-0.08404260151552467,0.5497521720027676,-0.24169650603803775,0.8909213291402525
pd-vs-als,tree_span_events,2.7018694354382173,2.6910364145658265,-0.010833020872390797,0.5682701647513472,-0.22671496906206567,0.8909213291402525
pd-vs-als,compound_pivot_fraction,0.8451529786300239,0.8612248236014676,0.01607184497144365,0.5807389113242696,0.22218002852556143,0.8909213291402525
pd-vs-als,multilevel,0.3111979166666667,0.31919642857142855,0.007998511904761862,0.5837070777125792,0.216383946475441,0.8909213291402525
pd-vs-als,LTO_multilevel,0.05859375,0.046875,-0.01171875,0.700852598828513,-0.15481439981727246,1.0
pd-vs-als,mean_D,2.171875,2.157924107142857,-0.013950892857142794,0.8013409879591146,-0.10145569542821926,1.0
pd-vs-als,projection_error_ms_mean,2.2970468026620368,2.302977546812996,0.005930744150959288,0.926526004593405,0.034921734604379445,1.0
pd-vs-als,tree_span_time,1.2423933666724565,1.2412990196078433,-0.0010943470646131992,0.9331287442534699,-0.033156308747878206,1.0
pd-vs-als,pivot_rate,0.3030598958333333,0.302734375,-0.00032552083333331483,0.968509826887354,-0.015269196907177781,1.0
pd-vs-als,projection_error_ms_max,5.0,5.0,0.0,1.0,0.0,1.0
pd-vs-als,LHS_mean_lambda,3.015625,3.015625,0.0,,,1.0
pd-vs-als,LHS_multilevel,1.0,1.0,0.0,,,1.0
pd-vs-als,RTO_mean_D,1.0,1.0,0.0,,,1.0
pd-vs-als,RTO_multilevel,0.0,0.0,0.0,,,1.0
pd-vs-control,mean_D,2.33837890625,2.157924107142857,-0.1804547991071428,8.31291113291487e-05,-1.6144571481227215,0.0024107442285453123
pd-vs-control,compound_pivot_fraction,0.7554927041176307,0.8612248236014676,0.10573211948383687,0.000750197841281083,1.3245987521738098,0.008349021028546226
pd-vs-control,LHS_mean_H,7.3623046875,6.925223214285714,-0.4370814732142856,0.0011515891073856862,-1.26946135338519,0.008349021028546226
pd-vs-control,LHS_mean_D,5.3466796875,4.909598214285714,-0.4370814732142856,0.0011515891073856862,-1.26946135338519,0.008349021028546226
pd-vs-control,tree_span_time,1.2089920343137255,1.2412990196078433,0.032306985294117796,0.0024614227121952494,1.1938964787789843,0.014276251730732447
pd-vs-control,pivot_depth,2.387711815623535,2.6527261850921966,0.26501436946866175,0.005855421550353769,1.0677883550361598,0.028301204160043215
pd-vs-control,tree_span_events,2.6585784313725496,2.6910364145658265,0.032457983193276974,0.033471254211797634,0.7944184745059922,0.13866662459173304
pd-vs-control,RHS_mean_D,1.978515625,1.6607142857142858,-0.3178013392857142,0.05495991164478552,-0.6993767267631255,0.1992296797123475
pd-vs-control,RHS_multilevel,0.3125,0.22991071428571427,-0.08258928571428573,0.12795442698347875,-0.5479128380589368,0.4031110219158839
pd-vs-control,RHS_mean_lambda,7.7705078125,8.175223214285714,0.4047154017857135,0.1390038006606496,0.5306015526423047,0.4031110219158839
pd-vs-control,LTO_mean_D,1.0283203125,1.0613839285714286,0.0330636160714286,0.17197076774893313,0.5307381840657942,0.4450413639532668
pd-vs-control,LTO_multilevel,0.025390625,0.046875,0.021484375,0.20432478342626817,0.4819556638077057,0.4450413639532668
pd-vs-control,projection_depth_mean,4.518880208333333,4.686383928571429,0.1675037202380958,0.23107939792607535,0.42862188565434733,0.4450413639532668
